Mass_Size,Copy_Count,Comp_Count,Time
100,2419,4760,120
100,2158,4914,163
100,2618,4940,144
100,2658,4845,141
100,2572,4949,171
100,2217,4814,165
100,2320,4872,129
100,2368,4895,172
100,2370,4779,136
100,2393,4922,227
100,2498,4830,229
100,2382,4779,163
100,2430,4940,278
100,2641,4922,288
100,2301,4922,82
100,2459,4872,168
100,2613,4947,148
100,2644,4884,279
100,2812,4922,179
100,2563,4947,299
200,9756,19780,644
200,9633,19669,810
200,10062,19600,995
200,11124,19809,988
200,9815,19747,521
200,10624,19764,988
200,10001,19624,1078
200,10045,19710,1056
200,10020,19879,1080
200,8976,19549,963
200,10082,19822,1157
200,9872,19879,1154
200,8766,19710,1029
200,9929,19890,668
200,10058,19879,1047
200,10212,19890,972
200,10261,19764,1275
200,10422,19600,737
200,10250,19624,782
200,10859,19885,842
300,21337,44697,2133
300,21612,44574,2168
300,21532,44574,2212
300,23516,44322,2273
300,20779,44255,2425
300,21084,44814,2186
300,22043,44745,2480
300,22422,44322,2499
300,21972,44619,2421
300,21491,44415,2534
300,20963,43419,2447
300,22462,44805,2531
300,21849,43769,2420
300,21041,44829,2391
300,22922,44805,2473
300,21083,44597,2749
300,23208,44829,1489
300,22642,44385,1527
300,22218,44679,1501
300,22343,44147,1620
400,39620,79475,3936
400,39967,79647,3966
400,38266,79764,4027
400,40935,79524,4212
400,40409,79475,4293
400,41138,79755,4240
400,38962,79547,4381
400,40637,79590,4074
400,39164,79772,4064
400,40133,79524,4232
400,38783,79647,4506
400,39540,79755,4653
400,39224,79629,4467
400,39257,79422,4649
400,40632,79422,4828
400,41480,79547,4737
400,40251,79755,2496
400,37779,79475,2681
400,39255,79475,2570
400,38654,79590,2650
500,58949,124630,5367
500,60316,124120,5942
500,60542,124047,6072
500,62192,124425,6485
500,64954,124540,6562
500,60557,123154,6671
500,62880,124285,6952
500,61070,124684,6651
500,59987,124540,6943
500,60506,122670,6901
500,63940,124047,7200
500,63937,124222,7315
500,61725,124084,7228
500,65044,124399,7586
500,63799,123889,7974
500,63453,124659,7931
500,62293,124450,3731
500,61548,124684,3879
500,60698,124714,3588
500,58174,124084,3964
600,88129,179424,9260
600,88026,179510,9307
600,91174,179105,9896
600,92970,179424,10033
600,87155,178959,9916
600,94158,178475,10277
600,88924,179172,9995
600,88021,178797,10263
600,87422,178710,10283
600,90935,179664,10408
600,86622,179510,10696
600,90985,179400,10576
600,95242,177989,10390
600,92732,179622,10270
600,90366,176999,10355
600,91938,179645,10957
600,93176,179595,5364
600,89143,177285,5446
600,87301,179105,4999
600,88871,179294,5237
700,119342,244514,13390
700,114695,244545,13412
700,117842,242939,13543
700,119346,243747,13535
700,124428,241800,13708
700,121796,244497,13830
700,123815,244055,13559
700,124864,244584,13968
700,121429,244154,14027
700,117875,243272,13991
700,122153,244350,13812
700,123958,243375,14128
700,122803,244635,13958
700,122505,244215,14074
700,122396,243747,14220
700,122636,244325,14384
700,122468,244419,6223
700,123269,243324,6697
700,118513,244595,6603
700,121834,244299,6428
800,156605,318780,16240
800,158506,317709,16394
800,156718,317770,16391
800,162842,319410,16670
800,155176,318654,16425
800,164055,317770,16829
800,157420,319390,17020
800,154722,318739,16985
800,151618,319579,17153
800,162621,319585,17377
800,152909,317455,17138
