Mass_Size,Copy_Count,Comp_Count,Time
100,4950,4950,131
100,4950,4950,105
100,4950,4950,214
100,4950,4950,130
100,4950,4950,104
100,4950,4950,341
100,4950,4950,130
100,4950,4950,235
100,4950,4950,104
100,4950,4950,337
100,4950,4950,389
100,4950,4950,480
100,4950,4950,356
100,4950,4950,131
100,4950,4950,105
100,4950,4950,131
100,4950,4950,495
100,4950,4950,346
100,4950,4950,486
100,4950,4950,521
200,19900,19900,563
200,19900,19900,692
200,19900,19900,745
200,19900,19900,1097
200,19900,19900,1075
200,19900,19900,773
200,19900,19900,878
200,19900,19900,1025
200,19900,19900,660
200,19900,19900,1262
200,19900,19900,800
200,19900,19900,1618
200,19900,19900,567
200,19900,19900,1598
200,19900,19900,750
200,19900,19900,1210
200,19900,19900,735
200,19900,19900,1473
200,19900,19900,1592
200,19900,19900,700
300,44850,44850,1591
300,44850,44850,1598
300,44850,44850,1646
300,44850,44850,1879
300,44850,44850,1949
300,44850,44850,2010
300,44850,44850,1824
300,44850,44850,2143
300,44850,44850,1969
300,44850,44850,2269
300,44850,44850,2228
300,44850,44850,2028
300,44850,44850,2430
300,44850,44850,1357
300,44850,44850,1395
300,44850,44850,1304
300,44850,44850,1352
300,44850,44850,1912
300,44850,44850,1525
300,44850,44850,1664
400,79800,79800,2941
400,79800,79800,3033
400,79800,79800,3228
400,79800,79800,3135
400,79800,79800,3175
400,79800,79800,3400
400,79800,79800,3427
400,79800,79800,3557
400,79800,79800,3533
400,79800,79800,3413
400,79800,79800,3289
400,79800,79800,3382
400,79800,79800,3699
400,79800,79800,3376
400,79800,79800,1956
400,79800,79800,1853
400,79800,79800,1811
400,79800,79800,3140
400,79800,79800,2691
400,79800,79800,2917
500,124750,124750,4627
500,124750,124750,4780
500,124750,124750,4806
500,124750,124750,4989
500,124750,124750,5044
500,124750,124750,4981
500,124750,124750,4933
500,124750,124750,4925
500,124750,124750,4890
500,124750,124750,5107
500,124750,124750,5203
500,124750,124750,5610
500,124750,124750,5957
500,124750,124750,6136
500,124750,124750,3758
500,124750,124750,2758
500,124750,124750,2928
500,124750,124750,2784
500,124750,124750,3217
500,124750,124750,3641
600,179700,179700,6734
600,179700,179700,7207
600,179700,179700,7160
600,179700,179700,7121
600,179700,179700,7249
600,179700,179700,7333
600,179700,179700,7301
600,179700,179700,7508
600,179700,179700,7376
600,179700,179700,7399
600,179700,179700,7289
600,179700,179700,7482
600,179700,179700,8156
600,179700,179700,6021
600,179700,179700,8031
600,179700,179700,3943
600,179700,179700,3951
600,179700,179700,3927
600,179700,179700,6118
600,179700,179700,5019
700,244650,244650,8096
700,244650,244650,9017
700,244650,244650,9964
700,244650,244650,9901
700,244650,244650,9978
700,244650,244650,9884
700,244650,244650,10073
700,244650,244650,10253
700,244650,244650,9990
700,244650,244650,10239
700,244650,244650,10124
700,244650,244650,10384
700,244650,244650,11376
700,244650,244650,8654
700,244650,244650,5166
700,244650,244650,5180
700,244650,244650,5333
700,244650,244650,15642
700,244650,244650,4955
700,244650,244650,9075
800,319600,319600,11968
800,319600,319600,12784
800,319600,319600,13138
800,319600,319600,13169
800,319600,319600,13412
800,319600,319600,13216
800,319600,319600,13685
800,319600,319600,13586
800,319600,319600,13705
800,319600,319600,13831
800,319600,319600,16752
800,319600,319600,18184
800,319600,319600,22498
800,319600,319600,10159
800,319600,319600,10807
800,319600,319600,9979
800,319600,319600,13494
800,319600,319600,15503
800,319600,319600,13869
800,319600,319600,13163
900,404550,404550,13822
900,404550,404550,16148
900,404550,404550,18915
900,404550,404550,18937
900,404550,404550,19152
900,404550,404550,18832
900,404550,404550,18922
900,404550,404550,19184
900,404550,404550,19139
900,404550,404550,20106
900,404550,404550,20214
900,404550,404550,20421
900,404550,404550,18397
900,404550,404550,13758
900,404550,404550,26127
900,404550,404550,9703
900,404550,404550,8879
900,404550,404550,15518
900,404550,404550,11848
900,404550,404550,11011
1000,499500,499500,28785
1000,499500,499500,29397
1000,499500,499500,27580
1000,499500,499500,28888
1000,499500,499500,29392
1000,499500,499500,28059
1000,499500,499500,29278
1000,499500,499500,29997
1000,499500,499500,29216
1000,499500,499500,29757
1000,499500,499500,28777
1000,499500,499500,29116
1000,499500,499500,28745
1000,499500,499500,30461
1000,499500,499500,29688
1000,499500,499500,26234
1000,499500,499500,12790
1000,499500,499500,12868
1000,499500,499500,12370
1000,499500,499500,14414
1100,604450,604450,30264
1100,604450,604450,30479
1100,604450,604450,30914
1100,604450,604450,30770
1100,604450,604450,31226
1100,604450,604450,31669
1100,604450,604450,31424
1100,604450,604450,32070
1100,604450,604450,31785
1100,604450,604450,32297
1100,604450,604450,32009
1100,604450,604450,32839
1100,604450,604450,34929
1100,604450,604450,35206
1100,604450,604450,38095
1100,604450,604450,40468
1100,604450,604450,14822
1100,604450,604450,18602
1100,604450,604450,19302
1100,604450,604450,18394
1200,719400,719400,27209
1200,719400,719400,31583
1200,719400,719400,31477
1200,719400,719400,31549
1200,719400,719400,31818
1200,719400,719400,31710
1200,719400,719400,31766
1200,719400,719400,32097
1200,719400,719400,31999
1200,719400,719400,32186
1200,719400,719400,32585
1200,719400,719400,32935
1200,719400,719400,34401
1200,719400,719400,30140
1200,719400,719400,25359
1200,719400,719400,43037
1200,719400,719400,17245
1200,719400,719400,17339
1200,719400,719400,17848
1200,719400,719400,17678
1300,844350,844350,39431
1300,844350,844350,40326
1300,844350,844350,40634
1300,844350,844350,40519
1300,844350,844350,41104
1300,844350,844350,41088
1300,844350,844350,40985
1300,844350,844350,41745
1300,844350,844350,41352
1300,844350,844350,41838
1300,844350,844350,42497
1300,844350,844350,44065
1300,844350,844350,43471
1300,844350,844350,44637
1300,844350,844350,45039
1300,844350,844350,42952
1300,844350,844350,20972
1300,844350,844350,21645
1300,844350,844350,21207
1300,844350,844350,23717
1400,979300,979300,45146
1400,979300,979300,45412
1400,979300,979300,45254
1400,979300,979300,45345
1400,979300,979300,45636
1400,979300,979300,45111
1400,979300,979300,45110
1400,979300,979300,45387
1400,979300,979300,45925
1400,979300,979300,45954
1400,979300,979300,45769
1400,979300,979300,45691
1400,979300,979300,45698
1400,979300,979300,45816
1400,979300,979300,46162
1400,979300,979300,45988
1400,979300,979300,24739
1400,979300,979300,24592
1400,979300,979300,24648
1400,979300,979300,25558
1500,1124250,1124250,50967
1500,1124250,1124250,51159
1500,1124250,1124250,51557
1500,1124250,1124250,51175
1500,1124250,1124250,51454
1500,1124250,1124250,51372
1500,1124250,1124250,51704
1500,1124250,1124250,52446
1500,1124250,1124250,52122
1500,1124250,1124250,52579
1500,1124250,1124250,52928
1500,1124250,1124250,53124
1500,1124250,1124250,53596
1500,1124250,1124250,53981
1500,1124250,1124250,53725
1500,1124250,1124250,57619
1500,1124250,1124250,27317
1500,1124250,1124250,28524
1500,1124250,1124250,27214
1500,1124250,1124250,31242
1600,1279200,1279200,55665
1600,1279200,1279200,55580
1600,1279200,1279200,55065
1600,1279200,1279200,55600
1600,1279200,1279200,55542
1600,1279200,1279200,55610
1600,1279200,1279200,55637
1600,1279200,1279200,55523
1600,1279200,1279200,55700
1600,1279200,1279200,55442
1600,1279200,1279200,55538
