Mass_Size,Copy_Count,Comp_Count,Time
100,0,99,2
100,0,99,1
100,0,99,1
100,0,99,1
100,0,99,1
100,0,99,1
100,0,99,1
100,0,99,1
100,0,99,1
100,0,99,1
100,0,99,1
100,0,99,1
100,0,99,1
100,0,99,1
100,0,99,1
100,0,99,1
100,0,99,1
100,0,99,2
100,0,99,1
100,0,99,1
200,0,199,3
200,0,199,2
200,0,199,3
200,0,199,2
200,0,199,3
200,0,199,3
200,0,199,3
200,0,199,3
200,0,199,3
200,0,199,3
200,0,199,3
200,0,199,3
200,0,199,3
200,0,199,3
200,0,199,3
200,0,199,3
200,0,199,3
200,0,199,3
200,0,199,3
200,0,199,3
300,0,299,4
300,0,299,4
300,0,299,4
300,0,299,4
300,0,299,4
300,0,299,5
300,0,299,4
300,0,299,4
300,0,299,4
300,0,299,4
300,0,299,4
300,0,299,4
300,0,299,4
300,0,299,5
300,0,299,5
300,0,299,5
300,0,299,4
300,0,299,5
300,0,299,4
300,0,299,5
400,0,399,6
400,0,399,6
400,0,399,6
400,0,399,6
400,0,399,7
400,0,399,6
400,0,399,6
400,0,399,6
400,0,399,6
400,0,399,6
400,0,399,6
400,0,399,6
400,0,399,7
400,0,399,7
400,0,399,7
400,0,399,7
400,0,399,6
400,0,399,6
400,0,399,7
400,0,399,8
500,0,499,8
500,0,499,8
500,0,499,8
500,0,499,8
500,0,499,8
500,0,499,8
500,0,499,8
500,0,499,6
500,0,499,8
500,0,499,8
500,0,499,8
500,0,499,6
500,0,499,8
500,0,499,7
500,0,499,9
500,0,499,8
500,0,499,6
500,0,499,7
500,0,499,6
500,0,499,9
600,0,599,11
600,0,599,9
600,0,599,9
600,0,599,11
600,0,599,9
600,0,599,10
600,0,599,9
600,0,599,11
600,0,599,11
600,0,599,11
600,0,599,9
600,0,599,11
600,0,599,9
600,0,599,11
600,0,599,9
600,0,599,9
600,0,599,11
600,0,599,9
600,0,599,11
600,0,599,10
700,0,699,13
700,0,699,10
700,0,699,13
700,0,699,10
700,0,699,10
700,0,699,10
700,0,699,13
700,0,699,13
700,0,699,13
700,0,699,10
700,0,699,13
700,0,699,10
700,0,699,13
700,0,699,10
700,0,699,13
700,0,699,10
700,0,699,13
700,0,699,11
700,0,699,10
700,0,699,11
800,0,799,12
800,0,799,12
800,0,799,12
800,0,799,12
800,0,799,12
800,0,799,12
800,0,799,15
800,0,799,12
800,0,799,15
800,0,799,12
800,0,799,12
800,0,799,12
800,0,799,12
800,0,799,12
800,0,799,12
800,0,799,12
800,0,799,12
800,0,799,12
800,0,799,13
800,0,799,13
900,0,899,13
900,0,899,13
900,0,899,13
900,0,899,13
900,0,899,16
900,0,899,15
900,0,899,19
900,0,899,13
900,0,899,19
900,0,899,15
900,0,899,10
900,0,899,15
900,0,899,10
900,0,899,15
900,0,899,10
900,0,899,10
900,0,899,19
900,0,899,14
900,0,899,10
900,0,899,12
1000,0,999,15
1000,0,999,15
1000,0,999,11
1000,0,999,11
1000,0,999,21
1000,0,999,17
1000,0,999,21
1000,0,999,16
1000,0,999,18
1000,0,999,11
1000,0,999,21
1000,0,999,21
1000,0,999,21
1000,0,999,11
1000,0,999,21
1000,0,999,11
1000,0,999,11
1000,0,999,11
1000,0,999,23
1000,0,999,21
1100,0,1099,22
1100,0,1099,27
1100,0,1099,22
1100,0,1099,22
1100,0,1099,22
1100,0,1099,27
1100,0,1099,21
1100,0,1099,21
1100,0,1099,23
1100,0,1099,22
1100,0,1099,27
1100,0,1099,22
1100,0,1099,22
1100,0,1099,22
1100,0,1099,27
1100,0,1099,22
1100,0,1099,19
1100,0,1099,22
1100,0,1099,25
1100,0,1099,27
1200,0,1199,24
1200,0,1199,24
1200,0,1199,23
1200,0,1199,23
1200,0,1199,21
1200,0,1199,24
1200,0,1199,23
1200,0,1199,25
1200,0,1199,29
1200,0,1199,20
1200,0,1199,28
1200,0,1199,23
1200,0,1199,21
1200,0,1199,23
1200,0,1199,21
1200,0,1199,23
1200,0,1199,20
1200,0,1199,23
1200,0,1199,21
1200,0,1199,26
1300,0,1299,22
1300,0,1299,22
1300,0,1299,25
1300,0,1299,26
1300,0,1299,30
1300,0,1299,24
1300,0,1299,25
1300,0,1299,30
1300,0,1299,22
1300,0,1299,30
1300,0,1299,30
1300,0,1299,28
1300,0,1299,22
1300,0,1299,25
1300,0,1299,22
1300,0,1299,22
1300,0,1299,30
1300,0,1299,31
1300,0,1299,22
1300,0,1299,34
1400,0,1399,24
1400,0,1399,24
1400,0,1399,33
1400,0,1399,33
1400,0,1399,33
1400,0,1399,32
1400,0,1399,33
1400,0,1399,41
1400,0,1399,24
1400,0,1399,32
1400,0,1399,25
1400,0,1399,34
1400,0,1399,24
1400,0,1399,24
1400,0,1399,33
1400,0,1399,24
1400,0,1399,24
1400,0,1399,33
1400,0,1399,35
1400,0,1399,27
1500,0,1499,35
1500,0,1499,44
1500,0,1499,35
1500,0,1499,35
1500,0,1499,44
1500,0,1499,32
1500,0,1499,43
1500,0,1499,35
1500,0,1499,24
1500,0,1499,46
1500,0,1499,37
1500,0,1499,35
1500,0,1499,35
1500,0,1499,36
1500,0,1499,44
1500,0,1499,35
1500,0,1499,44
1500,0,1499,33
1500,0,1499,37
1500,0,1499,52
1600,0,1599,24
1600,0,1599,24
1600,0,1599,27
1600,0,1599,24
1600,0,1599,24
1600,0,1599,37
1600,0,1599,27
1600,0,1599,27
1600,0,1599,47
1600,0,1599,37
1600,0,1599,24
1600,0,1599,27
1600,0,1599,24
1600,0,1599,24
1600,0,1599,27
1600,0,1599,24
1600,0,1599,27
1600,0,1599,24
1600,0,1599,39
1600,0,1599,27
1700,0,1699,29
1700,0,1699,29
1700,0,1699,50
1700,0,1699,49
1700,0,1699,33
1700,0,1699,29
1700,0,1699,41
1700,0,1699,41
1700,0,1699,27
1700,0,1699,26
1700,0,1699,52
1700,0,1699,29
1700,0,1699,40
1700,0,1699,36
1700,0,1699,26
1700,0,1699,49
1700,0,1699,40
1700,0,1699,37
1700,0,1699,44
1700,0,1699,55
1800,0,1799,42
1800,0,1799,39
1800,0,1799,27
1800,0,1799,53
1800,0,1799,31
1800,0,1799,27
1800,0,1799,42
1800,0,1799,38
1800,0,1799,45
1800,0,1799,56
1800,0,1799,24
1800,0,1799,26
1800,0,1799,42
1800,0,1799,43
1800,0,1799,42
1800,0,1799,42
1800,0,1799,31
1800,0,1799,35
1800,0,1799,45
1800,0,1799,47
1900,0,1899,44
1900,0,1899,45
1900,0,1899,32
1900,0,1899,44
1900,0,1899,44
1900,0,1899,38
1900,0,1899,32
1900,0,1899,45
1900,0,1899,44
1900,0,1899,27
1900,0,1899,56
1900,0,1899,44
1900,0,1899,37
1900,0,1899,44
1900,0,1899,44
1900,0,1899,44
1900,0,1899,44
1900,0,1899,44
1900,0,1899,40
1900,0,1899,40
2000,0,1999,30
2000,0,1999,46
2000,0,1999,30
2000,0,1999,47
2000,0,1999,40
2000,0,1999,39
2000,0,1999,46
2000,0,1999,40
2000,0,1999,31
2000,0,1999,49
2000,0,1999,61
2000,0,1999,31
2000,0,1999,30
2000,0,1999,46
2000,0,1999,30
2000,0,1999,30
2000,0,1999,46
2000,0,1999,48
2000,0,1999,42
2000,0,1999,32
2100,0,2099,41
2100,0,2099,36
2100,0,2099,42
2100,0,2099,48
2100,0,2099,44
2100,0,2099,68
2100,0,2099,43
2100,0,2099,58
2100,0,2099,51
2100,0,2099,53
2100,0,2099,48
2100,0,2099,41
2100,0,2099,36
2100,0,2099,41
2100,0,2099,36
2100,0,2099,36
2100,0,2099,41
2100,0,2099,48
2100,0,2099,39
2100,0,2099,45
2200,0,2199,38
2200,0,2199,33
2200,0,2199,38
2200,0,2199,43
2200,0,2199,55
2200,0,2199,33
2200,0,2199,43
2200,0,2199,43
2200,0,2199,38
2200,0,2199,51
2200,0,2199,55
2200,0,2199,43
2200,0,2199,33
2200,0,2199,38
2200,0,2199,33
