Mass_Size,Copy_Count,Comp_Count,Time
100,2403,4950,125
100,2399,4950,133
100,2427,4950,114
100,2387,4950,213
100,2675,4950,128
100,2589,4950,174
100,2812,4950,189
100,2263,4950,212
100,2446,4950,233
100,2619,4950,127
100,2430,4950,98
100,2451,4950,150
100,2328,4950,216
100,2635,4950,222
100,2431,4950,125
100,2601,4950,220
100,2398,4950,127
100,2338,4950,359
100,2606,4950,131
100,2333,4950,102
200,9467,19900,555
200,9236,19900,441
200,10338,19900,549
200,10107,19900,690
200,10704,19900,721
200,9127,19900,615
200,9888,19900,664
200,9471,19900,646
200,9907,19900,450
200,10083,19900,619
200,8911,19900,659
200,9047,19900,559
200,10396,19900,792
200,9606,19900,547
200,10777,19900,776
200,9643,19900,564
200,10941,19900,951
200,9802,19900,672
200,9782,19900,520
200,10227,19900,609
300,22316,44850,1311
300,22793,44850,1390
300,22591,44850,1314
300,22763,44850,1400
300,22595,44850,1375
300,21649,44850,1315
300,22217,44850,1487
300,20666,44850,1519
300,22688,44850,1323
300,22338,44850,1417
300,23739,44850,1573
300,22368,44850,1544
300,22002,44850,1388
300,22002,44850,1538
300,21478,44850,1833
300,22115,44850,1870
300,22410,44850,990
300,21866,44850,1084
300,21528,44850,1031
300,21779,44850,1066
400,41896,79800,2457
400,38864,79800,2556
400,39134,79800,2743
400,40337,79800,2768
400,39589,79800,2805
400,39416,79800,2440
400,39052,79800,2884
400,40082,79800,2591
400,39238,79800,2796
400,38775,79800,2924
400,38601,79800,2895
400,39061,79800,2664
400,39486,79800,2921
400,40151,79800,2893
400,40086,79800,2898
400,41434,79800,2982
400,40381,79800,1600
400,41291,79800,1665
400,39456,79800,1733
400,39942,79800,1774
500,59915,124750,3940
500,61769,124750,3989
500,63704,124750,4122
500,63301,124750,4296
500,63177,124750,4401
500,61810,124750,4302
500,60589,124750,4226
500,63156,124750,4229
500,63927,124750,4373
500,61699,124750,4180
500,60536,124750,4251
500,60287,124750,4173
500,60376,124750,4461
500,59233,124750,4143
500,63197,124750,4226
500,60616,124750,4497
500,59882,124750,2518
500,58570,124750,2512
500,59733,124750,2387
500,58358,124750,2478
600,88817,179700,5652
600,86491,179700,5707
600,88777,179700,5767
600,86171,179700,5877
600,88729,179700,5902
600,93562,179700,5956
600,87927,179700,5768
600,88140,179700,5879
600,84555,179700,5687
600,88138,179700,5664
600,92133,179700,6068
600,90738,179700,5920
600,87582,179700,5780
600,86566,179700,6003
600,87506,179700,6008
600,89992,179700,6054
600,86513,179700,3434
600,90282,179700,3432
600,90166,179700,3562
600,88886,179700,3452
700,120824,244650,8271
700,118634,244650,8404
700,119790,244650,8378
700,124623,244650,8563
700,117197,244650,8610
700,119651,244650,8310
700,124776,244650,8935
700,118219,244650,8738
700,121511,244650,8544
700,118490,244650,8656
700,118979,244650,9002
700,121087,244650,8705
700,128080,244650,9033
700,116082,244650,9461
700,126443,244650,9158
700,120176,244650,9923
700,119557,244650,4396
700,118600,244650,4457
700,119834,244650,4450
700,125592,244650,4315
800,160991,319600,11268
800,160775,319600,11270
800,157775,319600,12190
800,158241,319600,12111
800,159797,319600,12202
800,157922,319600,12450
800,161300,319600,12693
800,166700,319600,12828
800,160601,319600,12533
800,159464,319600,12663
800,158534,319600,12672
800,160942,319600,13070
800,159262,319600,12766
800,159579,319600,13776
800,158989,319600,14366
800,165311,319600,11369
800,158488,319600,6723
800,152503,319600,6451
800,154314,319600,6403
800,156863,319600,6758
900,196466,404550,13035
900,196093,404550,13019
900,202486,404550,13374
900,195382,404550,13321
900,196810,404550,13217
900,203376,404550,13337
900,201897,404550,13628
900,201020,404550,13710
900,197042,404550,13562
900,210608,404550,13327
900,199135,404550,13749
900,195341,404550,13365
900,202334,404550,13784
900,198341,404550,13871
900,206257,404550,14003
900,200507,404550,16142
900,201759,404550,7286
900,198367,404550,7212
900,211536,404550,8036
900,189165,404550,8225
1000,243016,499500,14672
1000,239283,499500,15761
1000,235256,499500,15853
1000,242135,499500,15927
1000,245248,499500,15863
1000,249048,499500,15970
1000,247029,499500,15905
1000,247138,499500,15896
1000,250310,499500,16006
1000,248363,499500,15858
1000,246168,499500,15760
1000,246823,499500,15926
1000,245899,499500,16066
1000,244270,499500,16135
1000,250016,499500,16292
1000,253082,499500,8818
1000,247267,499500,8822
1000,244458,499500,8751
1000,249673,499500,8884
1000,252577,499500,10593
1100,300829,604450,18350
1100,298581,604450,19231
1100,292248,604450,19246
1100,300495,604450,19217
1100,297281,604450,19390
1100,302044,604450,19493
1100,294178,604450,19350
1100,296420,604450,19359
1100,299894,604450,19572
1100,295022,604450,19201
1100,299954,604450,19671
1100,291651,604450,19436
1100,303172,604450,19774
1100,303009,604450,19939
1100,294628,604450,22377
1100,301686,604450,12979
1100,292225,604450,10235
1100,303932,604450,10399
1100,298989,604450,10401
1100,299965,604450,10623
1200,349192,719400,24861
1200,351383,719400,25102
1200,344775,719400,24941
1200,359524,719400,25248
1200,352344,719400,25970
1200,352607,719400,25112
1200,357303,719400,25216
1200,355787,719400,25892
1200,360857,719400,25849
1200,358108,719400,25987
1200,357678,719400,25760
1200,360364,719400,26107
1200,356379,719400,26744
1200,358344,719400,26492
1200,357719,719400,27154
1200,354176,719400,29901
1200,365480,719400,13109
1200,358969,719400,12906
1200,352047,719400,13018
1200,370518,719400,12381
1300,409814,844350,26998
1300,423271,844350,27412
1300,400462,844350,26694
1300,417551,844350,27200
1300,421566,844350,27345
1300,409471,844350,27516
1300,420302,844350,27526
1300,417089,844350,26882
1300,412012,844350,27581
1300,419446,844350,27659
1300,409124,844350,27481
1300,414403,844350,27321
1300,420578,844350,27373
1300,402802,844350,27753
1300,423422,844350,28366
1300,421221,844350,28235
1300,417017,844350,14457
1300,422968,844350,14750
1300,426292,844350,14809
1300,406612,844350,15127
1400,476214,979300,31191
1400,496882,979300,31459
1400,471808,979300,31191
1400,476086,979300,31290
1400,478899,979300,31053
1400,474771,979300,31398
1400,489630,979300,31321
1400,479489,979300,31395
1400,483834,979300,31394
1400,493230,979300,31596
1400,493542,979300,31700
1400,505352,979300,31702
1400,478228,979300,31765
1400,484162,979300,31552
1400,502692,979300,31905
1400,491041,979300,32780
1400,481150,979300,16644
1400,486241,979300,16633
1400,494756,979300,16971
1400,481697,979300,17401
1500,537639,1124250,35848
1500,565642,1124250,36401
1500,547662,1124250,36090
1500,549651,1124250,36234
1500,562768,1124250,36250
1500,550442,1124250,35904
1500,570831,1124250,36521
1500,568122,1124250,36062
1500,559363,1124250,36478
1500,556827,1124250,36040
1500,563663,1124250,36255
1500,555320,1124250,36469
1500,591260,1124250,36698
1500,574892,1124250,36956
1500,569130,1124250,37128
1500,556412,1124250,37603
1500,563584,1124250,19072
1500,566839,1124250,19336
1500,555613,1124250,18978
1500,578759,1124250,20661
1600,626952,1279200,34438
1600,628891,1279200,39897
1600,630248,1279200,40135
1600,624172,1279200,40486
1600,645853,1279200,40529
1600,606644,1279200,40462
1600,641048,1279200,40905
1600,644202,1279200,40877
1600,639595,1279200,41464
1600,645938,1279200,41794
1600,625960,1279200,42019
1600,617769,1279200,42547
1600,627205,1279200,42861
1600,638324,1279200,43010
1600,636805,1279200,45993
1600,630958,1279200,51591
1600,655758,1279200,21520
1600,636215,1279200,21165
1600,635320,1279200,22207
1600,624461,1279200,23005
1700,705103,1444150,47305
1700,705670,1444150,47296
1700,711885,1444150,47952
