Mass_Size,Copy_Count,Comp_Count,Time
100,4950,4950,128
100,4950,4950,230
100,4950,4950,127
100,4950,4950,231
100,4950,4950,229
100,4950,4950,386
100,4950,4950,274
100,4950,4950,230
100,4950,4950,134
100,4950,4950,262
100,4950,4950,361
100,4950,4950,194
100,4950,4950,146
100,4950,4950,157
100,4950,4950,282
100,4950,4950,154
100,4950,4950,142
100,4950,4950,149
100,4950,4950,234
100,4950,4950,159
200,19900,19900,634
200,19900,19900,768
200,19900,19900,832
200,19900,19900,1136
200,19900,19900,1043
200,19900,19900,1186
200,19900,19900,997
200,19900,19900,1188
200,19900,19900,1317
200,19900,19900,1142
200,19900,19900,1025
200,19900,19900,872
200,19900,19900,731
200,19900,19900,962
200,19900,19900,1238
200,19900,19900,1175
200,19900,19900,503
200,19900,19900,550
200,19900,19900,682
200,19900,19900,701
300,44850,44850,1895
300,44850,44850,1930
300,44850,44850,1947
300,44850,44850,1700
300,44850,44850,2118
300,44850,44850,2179
300,44850,44850,2241
300,44850,44850,1974
300,44850,44850,2155
300,44850,44850,2249
300,44850,44850,2126
300,44850,44850,2246
300,44850,44850,2240
300,44850,44850,2043
300,44850,44850,1312
300,44850,44850,1208
300,44850,44850,1279
300,44850,44850,1304
300,44850,44850,1219
300,44850,44850,1357
400,79800,79800,3147
400,79800,79800,3298
400,79800,79800,3527
400,79800,79800,3660
400,79800,79800,3623
400,79800,79800,3618
400,79800,79800,3751
400,79800,79800,3846
400,79800,79800,3505
400,79800,79800,3883
400,79800,79800,3278
400,79800,79800,4209
400,79800,79800,4215
400,79800,79800,4077
400,79800,79800,2014
400,79800,79800,2134
400,79800,79800,3874
400,79800,79800,2806
400,79800,79800,3371
400,79800,79800,3027
500,124750,124750,4112
500,124750,124750,5946
500,124750,124750,5774
500,124750,124750,6105
500,124750,124750,6041
500,124750,124750,6212
500,124750,124750,6282
500,124750,124750,6028
500,124750,124750,5310
500,124750,124750,6541
500,124750,124750,6334
500,124750,124750,6387
500,124750,124750,5957
500,124750,124750,5714
500,124750,124750,4881
500,124750,124750,3511
500,124750,124750,3805
500,124750,124750,3624
500,124750,124750,3849
500,124750,124750,5166
600,179700,179700,6863
600,179700,179700,8995
600,179700,179700,8972
600,179700,179700,9068
600,179700,179700,9168
600,179700,179700,8714
600,179700,179700,9085
600,179700,179700,9036
600,179700,179700,9226
600,179700,179700,9182
600,179700,179700,9472
600,179700,179700,9192
600,179700,179700,9632
600,179700,179700,9733
600,179700,179700,10370
600,179700,179700,4656
600,179700,179700,4482
600,179700,179700,6465
600,179700,179700,4406
600,179700,179700,5109
700,244650,244650,8980
700,244650,244650,11698
700,244650,244650,12611
700,244650,244650,12881
700,244650,244650,13261
700,244650,244650,13285
700,244650,244650,12993
700,244650,244650,13276
700,244650,244650,12876
700,244650,244650,13271
700,244650,244650,13105
700,244650,244650,13543
700,244650,244650,13360
700,244650,244650,13905
700,244650,244650,16289
700,244650,244650,6037
700,244650,244650,6589
700,244650,244650,5980
700,244650,244650,5991
700,244650,244650,7637
800,319600,319600,15502
800,319600,319600,15603
800,319600,319600,15647
800,319600,319600,15753
800,319600,319600,15884
800,319600,319600,16046
800,319600,319600,15688
800,319600,319600,15901
800,319600,319600,16250
800,319600,319600,15761
800,319600,319600,15920
800,319600,319600,16346
800,319600,319600,16698
800,319600,319600,16466
800,319600,319600,16393
800,319600,319600,17263
800,319600,319600,7784
800,319600,319600,8210
800,319600,319600,7785
800,319600,319600,7803
900,404550,404550,16199
900,404550,404550,16727
900,404550,404550,16788
900,404550,404550,16939
900,404550,404550,17009
900,404550,404550,16803
900,404550,404550,17283
900,404550,404550,16859
900,404550,404550,17300
900,404550,404550,17148
900,404550,404550,17230
900,404550,404550,17494
900,404550,404550,17480
900,404550,404550,17501
900,404550,404550,18962
900,404550,404550,9731
900,404550,404550,8305
900,404550,404550,8353
900,404550,404550,8431
900,404550,404550,8469
1000,499500,499500,18295
1000,499500,499500,19550
1000,499500,499500,19812
1000,499500,499500,19902
1000,499500,499500,19953
1000,499500,499500,19998
1000,499500,499500,19734
