Mass_Size,Copy_Count,Comp_Count,Time
100,0,4950,71
100,0,4950,70
100,0,4950,71
100,0,4950,70
100,0,4950,70
100,0,4950,77
100,0,4950,70
100,0,4950,80
100,0,4950,80
100,0,4950,80
100,0,4950,75
100,0,4950,129
100,0,4950,118
100,0,4950,119
100,0,4950,127
100,0,4950,132
100,0,4950,75
100,0,4950,137
100,0,4950,80
100,0,4950,82
200,0,19900,261
200,0,19900,231
200,0,19900,299
200,0,19900,225
200,0,19900,326
200,0,19900,299
200,0,19900,421
200,0,19900,447
200,0,19900,289
200,0,19900,334
200,0,19900,426
200,0,19900,653
200,0,19900,552
200,0,19900,578
200,0,19900,578
200,0,19900,576
200,0,19900,720
200,0,19900,727
200,0,19900,507
200,0,19900,607
300,0,44850,928
300,0,44850,940
300,0,44850,1099
300,0,44850,1446
300,0,44850,996
300,0,44850,1349
300,0,44850,1631
300,0,44850,1734
300,0,44850,1742
300,0,44850,1152
300,0,44850,1444
300,0,44850,1830
300,0,44850,1192
300,0,44850,1507
300,0,44850,2114
300,0,44850,1985
300,0,44850,2139
300,0,44850,1322
300,0,44850,1283
300,0,44850,1330
400,0,79800,2808
400,0,79800,2880
400,0,79800,2831
400,0,79800,3109
400,0,79800,3063
400,0,79800,3071
400,0,79800,2867
400,0,79800,3109
400,0,79800,3075
400,0,79800,3428
400,0,79800,3247
400,0,79800,2950
400,0,79800,2976
400,0,79800,3227
400,0,79800,3508
400,0,79800,1901
400,0,79800,3354
400,0,79800,1700
400,0,79800,1725
400,0,79800,2615
500,0,124750,4435
500,0,124750,4466
500,0,124750,4502
500,0,124750,4591
500,0,124750,4588
500,0,124750,4603
500,0,124750,4622
500,0,124750,4794
500,0,124750,4806
500,0,124750,4641
500,0,124750,4665
500,0,124750,4651
500,0,124750,4862
500,0,124750,4908
500,0,124750,4755
500,0,124750,4971
500,0,124750,2648
500,0,124750,2701
500,0,124750,2696
500,0,124750,2716
600,0,179700,6622
600,0,179700,7425
600,0,179700,7554
600,0,179700,7731
600,0,179700,7713
600,0,179700,7837
600,0,179700,8014
600,0,179700,8121
600,0,179700,7959
600,0,179700,8065
600,0,179700,8164
600,0,179700,8118
600,0,179700,8436
600,0,179700,8321
600,0,179700,8459
600,0,179700,9412
600,0,179700,4459
600,0,179700,4598
600,0,179700,4401
600,0,179700,4467
700,0,244650,10512
700,0,244650,10561
700,0,244650,10716
700,0,244650,10982
700,0,244650,10896
700,0,244650,11172
700,0,244650,11163
700,0,244650,11156
700,0,244650,10943
700,0,244650,11201
700,0,244650,11237
700,0,244650,11186
700,0,244650,11196
700,0,244650,11043
700,0,244650,11462
700,0,244650,12217
700,0,244650,6059
700,0,244650,5762
700,0,244650,6352
700,0,244650,6858
800,0,319600,12744
800,0,319600,12738
800,0,319600,13090
800,0,319600,13015
800,0,319600,13109
800,0,319600,12885
800,0,319600,12728
800,0,319600,12862
800,0,319600,13193
800,0,319600,13212
800,0,319600,13464
800,0,319600,13190
800,0,319600,13185
800,0,319600,13155
800,0,319600,13445
800,0,319600,13434
800,0,319600,6303
800,0,319600,5974
800,0,319600,6083
800,0,319600,6281
900,0,404550,13812
900,0,404550,14491
900,0,404550,14948
900,0,404550,14957
900,0,404550,15135
900,0,404550,15393
900,0,404550,15130
900,0,404550,15761
900,0,404550,15760
900,0,404550,16159
900,0,404550,16014
900,0,404550,16345
900,0,404550,16297
900,0,404550,16360
900,0,404550,18177
900,0,404550,21848
900,0,404550,8386
900,0,404550,7460
900,0,404550,8128
900,0,404550,10319
1000,0,499500,15279
1000,0,499500,15595
1000,0,499500,15777
1000,0,499500,15752
1000,0,499500,15670
1000,0,499500,15787
1000,0,499500,16010
1000,0,499500,15941
1000,0,499500,15942
1000,0,499500,16320
1000,0,499500,15994
1000,0,499500,16390
1000,0,499500,16230
1000,0,499500,16570
1000,0,499500,16735
1000,0,499500,8305
1000,0,499500,7672
1000,0,499500,7529
1000,0,499500,7638
1000,0,499500,7476
1100,0,604450,17020
1100,0,604450,17061
1100,0,604450,17215
1100,0,604450,17245
1100,0,604450,17475
1100,0,604450,17605
1100,0,604450,17635
1100,0,604450,17747
1100,0,604450,17651
1100,0,604450,18076
1100,0,604450,18078
1100,0,604450,18510
1100,0,604450,18383
1100,0,604450,18711
1100,0,604450,18770
1100,0,604450,9618
1100,0,604450,7921
1100,0,604450,7734
1100,0,604450,7719
1100,0,604450,8351
1200,0,719400,17837
1200,0,719400,18184
1200,0,719400,18207
1200,0,719400,18277
1200,0,719400,18255
1200,0,719400,17986
1200,0,719400,18497
1200,0,719400,18456
1200,0,719400,18238
1200,0,719400,18542
1200,0,719400,18495
1200,0,719400,18550
1200,0,719400,18424
1200,0,719400,18635
1200,0,719400,18880
1200,0,719400,18845
1200,0,719400,8648
1200,0,719400,8694
1200,0,719400,8795
1200,0,719400,8618
1300,0,844350,19531
1300,0,844350,19622
1300,0,844350,19768
1300,0,844350,19814
1300,0,844350,19590
1300,0,844350,19769
1300,0,844350,19696
1300,0,844350,19515
1300,0,844350,20090
1300,0,844350,20377
1300,0,844350,20140
1300,0,844350,20000
1300,0,844350,20067
1300,0,844350,20120
1300,0,844350,20656
1300,0,844350,20554
1300,0,844350,10611
1300,0,844350,10781
1300,0,844350,10918
1300,0,844350,11165
1400,0,979300,22303
1400,0,979300,22336
1400,0,979300,22263
1400,0,979300,22555
1400,0,979300,22270
1400,0,979300,22673
1400,0,979300,22714
1400,0,979300,22527
1400,0,979300,22661
1400,0,979300,22645
1400,0,979300,22849
1400,0,979300,22666
1400,0,979300,22682
1400,0,979300,22784
1400,0,979300,22678
1400,0,979300,23318
1400,0,979300,13187
1400,0,979300,13208
1400,0,979300,13111
1400,0,979300,13749
1500,0,1124250,27633
1500,0,1124250,27763
1500,0,1124250,27785
1500,0,1124250,27605
1500,0,1124250,27630
1500,0,1124250,27611
1500,0,1124250,27889
1500,0,1124250,27908
1500,0,1124250,27990
1500,0,1124250,28008
1500,0,1124250,28016
1500,0,1124250,28021
1500,0,1124250,28028
1500,0,1124250,28054
1500,0,1124250,28092
1500,0,1124250,28782
1500,0,1124250,15905
1500,0,1124250,15730
1500,0,1124250,15879
1500,0,1124250,16131
1600,0,1279200,31891
1600,0,1279200,32081
1600,0,1279200,32022
1600,0,1279200,31996
1600,0,1279200,32254
1600,0,1279200,31889
1600,0,1279200,32018
1600,0,1279200,32365
1600,0,1279200,32040
1600,0,1279200,32228
1600,0,1279200,32174
1600,0,1279200,32484
1600,0,1279200,32953
1600,0,1279200,32486
1600,0,1279200,33678
1600,0,1279200,34117
1600,0,1279200,18339
1600,0,1279200,18444
1600,0,1279200,19184
1600,0,1279200,19332
1700,0,1444150,29901
1700,0,1444150,35878
1700,0,1444150,36028
1700,0,1444150,36288
1700,0,1444150,36213
1700,0,1444150,36069
1700,0,1444150,36230
1700,0,1444150,36527
1700,0,1444150,36151
1700,0,1444150,36497
1700,0,1444150,36223
1700,0,1444150,36312
1700,0,1444150,36482
1700,0,1444150,36557
1700,0,1444150,29244
1700,0,1444150,45784
1700,0,1444150,20194
1700,0,1444150,20227
1700,0,1444150,20362
1700,0,1444150,20557
1800,0,1619100,40152
1800,0,1619100,40468
1800,0,1619100,40691
1800,0,1619100,40835
1800,0,1619100,40809
