Mass_Size,Copy_Count,Comp_Count,Time
100,202,1229,22
100,213,1229,22
100,215,1229,47
100,245,1229,24
100,203,1229,22
100,218,1229,34
100,229,1229,53
100,221,1229,32
100,224,1229,29
100,214,1229,34
100,197,1229,22
100,239,1229,29
100,220,1229,23
100,206,1229,22
100,215,1229,46
100,194,1229,22
100,211,1229,22
100,221,1229,22
100,211,1229,22
100,230,1229,31
200,472,3038,66
200,545,3038,56
200,499,3038,70
200,500,3038,79
200,453,3038,53
200,484,3038,92
200,488,3038,86
200,451,3038,66
200,492,3038,68
200,489,3038,86
200,481,3038,106
200,493,3038,77
200,517,3038,67
200,518,3038,68
200,520,3038,54
200,457,3038,81
200,487,3038,67
200,474,3038,66
200,484,3038,68
200,496,3038,92
300,750,5141,103
300,742,5141,90
300,790,5141,87
300,729,5141,87
300,773,5141,87
300,791,5141,98
300,816,5141,90
300,753,5141,86
300,789,5141,97
300,749,5141,142
300,752,5141,87
300,739,5141,142
300,757,5141,87
300,751,5141,90
300,750,5141,86
300,788,5141,87
300,775,5141,87
300,765,5141,92
300,790,5141,104
300,765,5141,96
400,1021,7235,122
400,1094,7235,123
400,1061,7235,122
400,1044,7235,131
400,1016,7235,122
400,1094,7235,137
400,1055,7235,158
400,1055,7235,179
400,1064,7235,197
400,1069,7235,131
400,1042,7235,188
400,1083,7235,185
400,1072,7235,157
400,1050,7235,138
400,1045,7235,156
400,1075,7235,131
400,1029,7235,123
400,1101,7235,130
400,1111,7235,170
400,1036,7235,166
500,1398,9535,161
500,1363,9535,160
500,1324,9535,212
500,1311,9535,158
500,1404,9535,244
500,1355,9535,165
500,1289,9535,158
500,1309,9535,263
500,1364,9535,160
500,1332,9535,248
500,1352,9535,339
500,1373,9535,311
500,1366,9535,177
500,1374,9535,321
500,1373,9535,161
500,1384,9535,289
500,1416,9535,267
500,1341,9535,163
500,1389,9535,248
500,1325,9535,181
600,1635,12030,199
600,1689,12030,202
600,1677,12030,216
600,1626,12030,219
600,1672,12030,287
600,1632,12030,215
600,1643,12030,250
600,1683,12030,333
600,1667,12030,273
600,1674,12030,342
600,1704,12030,215
600,1750,12030,231
600,1650,12030,327
