Mass_Size,Copy_Count,Comp_Count,Time
100,110,1229,19
100,110,1229,20
100,110,1229,19
100,110,1229,19
100,110,1229,19
100,110,1229,19
100,110,1229,25
100,110,1229,24
100,110,1229,21
100,110,1229,28
100,110,1229,19
100,110,1229,20
100,110,1229,19
100,110,1229,19
100,110,1229,19
100,110,1229,19
100,110,1229,19
100,110,1229,48
100,110,1229,22
100,110,1229,23
200,238,3038,45
200,238,3038,46
200,238,3038,45
200,238,3038,46
200,238,3038,76
200,238,3038,45
200,238,3038,46
200,238,3038,45
200,238,3038,48
200,238,3038,45
200,238,3038,76
200,238,3038,70
200,238,3038,45
200,238,3038,45
200,238,3038,46
200,238,3038,45
200,238,3038,45
200,238,3038,46
200,238,3038,47
200,238,3038,51
300,392,5141,76
300,392,5141,77
300,392,5141,77
300,392,5141,76
300,392,5141,96
300,392,5141,76
300,392,5141,97
300,392,5141,76
300,392,5141,80
300,392,5141,95
300,392,5141,121
300,392,5141,76
300,392,5141,128
300,392,5141,75
300,392,5141,75
300,392,5141,75
300,392,5141,76
300,392,5141,78
300,392,5141,84
300,392,5141,107
400,540,7235,107
400,540,7235,107
400,540,7235,136
400,540,7235,107
400,540,7235,106
400,540,7235,111
400,540,7235,123
400,540,7235,106
400,540,7235,108
400,540,7235,136
400,540,7235,190
400,540,7235,129
400,540,7235,187
400,540,7235,106
400,540,7235,107
400,540,7235,107
400,540,7235,105
400,540,7235,127
400,540,7235,131
400,540,7235,163
500,708,9535,140
500,708,9535,140
500,708,9535,161
500,708,9535,140
500,708,9535,200
500,708,9535,139
500,708,9535,160
500,708,9535,213
500,708,9535,224
500,708,9535,208
500,708,9535,248
500,708,9535,235
500,708,9535,199
500,708,9535,213
500,708,9535,185
500,708,9535,139
500,708,9535,188
500,708,9535,199
500,708,9535,228
500,708,9535,211
600,864,12030,175
600,864,12030,175
600,864,12030,175
600,864,12030,175
600,864,12030,175
600,864,12030,270
600,864,12030,175
600,864,12030,174
600,864,12030,307
600,864,12030,292
600,864,12030,313
600,864,12030,184
600,864,12030,221
600,864,12030,298
600,864,12030,320
600,864,12030,174
600,864,12030,383
600,864,12030,366
600,864,12030,320
600,864,12030,419
700,1038,14037,204
700,1038,14037,205
700,1038,14037,257
700,1038,14037,205
700,1038,14037,294
700,1038,14037,205
700,1038,14037,238
700,1038,14037,345
700,1038,14037,342
700,1038,14037,386
700,1038,14037,204
700,1038,14037,371
700,1038,14037,386
700,1038,14037,380
700,1038,14037,210
700,1038,14037,372
700,1038,14037,315
700,1038,14037,349
700,1038,14037,402
700,1038,14037,322
800,1208,16833,245
800,1208,16833,283
800,1208,16833,283
800,1208,16833,285
800,1208,16833,244
800,1208,16833,282
800,1208,16833,390
800,1208,16833,497
800,1208,16833,414
800,1208,16833,456
800,1208,16833,458
800,1208,16833,445
800,1208,16833,455
800,1208,16833,304
800,1208,16833,412
800,1208,16833,437
800,1208,16833,462
800,1208,16833,401
800,1208,16833,459
800,1208,16833,427
900,1354,19817,286
900,1354,19817,305
900,1354,19817,358
900,1354,19817,286
900,1354,19817,340
900,1354,19817,285
900,1354,19817,285
900,1354,19817,441
900,1354,19817,525
900,1354,19817,525
900,1354,19817,284
900,1354,19817,286
900,1354,19817,472
900,1354,19817,526
900,1354,19817,516
900,1354,19817,522
900,1354,19817,486
900,1354,19817,525
900,1354,19817,520
900,1354,19817,535
1000,1512,22022,354
1000,1512,22022,369
1000,1512,22022,408
1000,1512,22022,431
1000,1512,22022,357
1000,1512,22022,382
1000,1512,22022,470
1000,1512,22022,520
1000,1512,22022,636
1000,1512,22022,430
1000,1512,22022,432
1000,1512,22022,642
1000,1512,22022,553
1000,1512,22022,598
1000,1512,22022,670
1000,1512,22022,592
1000,1512,22022,667
1000,1512,22022,641
1000,1512,22022,662
1000,1512,22022,582
1100,1708,25305,444
1100,1708,25305,483
1100,1708,25305,419
1100,1708,25305,549
1100,1708,25305,598
1100,1708,25305,676
1100,1708,25305,719
1100,1708,25305,426
1100,1708,25305,826
1100,1708,25305,670
1100,1708,25305,533
1100,1708,25305,803
1100,1708,25305,864
1100,1708,25305,675
1100,1708,25305,640
1100,1708,25305,851
1100,1708,25305,681
1100,1708,25305,740
1100,1708,25305,762
1100,1708,25305,731
1200,1846,27614,453
1200,1846,27614,508
1200,1846,27614,560
1200,1846,27614,555
1200,1846,27614,514
1200,1846,27614,586
1200,1846,27614,714
1200,1846,27614,516
1200,1846,27614,739
1200,1846,27614,491
1200,1846,27614,732
1200,1846,27614,779
1200,1846,27614,575
1200,1846,27614,776
1200,1846,27614,779
1200,1846,27614,729
1200,1846,27614,596
1200,1846,27614,638
1200,1846,27614,693
1200,1846,27614,663
1300,2060,29917,543
1300,2060,29917,578
1300,2060,29917,601
1300,2060,29917,632
1300,2060,29917,550
1300,2060,29917,537
1300,2060,29917,527
1300,2060,29917,768
