Mass_Size,Copy_Count,Comp_Count,Time
100,569,1857,47
100,586,1908,38
100,573,1869,31
100,575,1875,31
100,579,1887,37
100,573,1869,30
100,589,1917,37
100,577,1881,37
100,583,1899,30
100,584,1902,31
100,578,1884,30
100,584,1902,30
100,581,1893,30
100,593,1929,30
100,586,1908,30
100,578,1884,30
100,575,1875,30
100,580,1890,29
100,587,1911,29
100,581,1893,33
200,1362,4386,75
200,1356,4368,89
200,1347,4341,69
200,1340,4320,109
200,1378,4434,86
200,1371,4413,89
200,1349,4347,68
200,1356,4368,74
200,1358,4374,79
200,1324,4272,109
200,1361,4383,140
200,1366,4398,98
200,1340,4320,85
200,1363,4389,87
200,1356,4368,69
200,1348,4344,68
200,1348,4344,86
200,1353,4359,90
200,1353,4359,77
200,1349,4347,123
300,2198,7044,115
300,2177,6981,113
300,2214,7092,162
300,2230,7140,190
300,2195,7035,121
300,2227,7131,185
300,2212,7086,210
300,2208,7074,186
300,2181,6993,179
300,2204,7062,161
300,2212,7086,241
300,2218,7104,158
300,2205,7065,111
300,2200,7050,233
300,2204,7062,119
300,2204,7062,111
300,2206,7068,178
300,2194,7032,112
300,2205,7065,119
300,2203,7059,127
400,3110,9930,157
400,3095,9885,157
400,3110,9930,195
400,3104,9912,159
400,3131,9993,231
400,3095,9885,249
400,3082,9846,165
400,3095,9885,277
400,3129,9987,269
400,3104,9912,270
400,3077,9831,256
400,3064,9792,236
400,3085,9855,274
400,3111,9933,291
400,3082,9846,258
400,3095,9885,265
400,3079,9837,256
400,3082,9846,181
400,3080,9840,261
400,3079,9837,171
500,3982,12696,201
500,4049,12897,204
500,4038,12864,246
500,4016,12798,236
500,4016,12798,289
500,4019,12807,327
500,4053,12909,205
500,3981,12693,250
500,4024,12822,317
500,4011,12783,364
500,4027,12831,332
500,4017,12801,377
500,4011,12783,301
500,4030,12840,359
500,4034,12852,218
500,4026,12828,304
500,4057,12921,343
500,4029,12837,418
500,4021,12813,276
500,4010,12780,317
600,4981,15843,269
600,4999,15897,304
600,4960,15780,318
600,4955,15765,272
600,5007,15921,372
600,4977,15831,417
600,4976,15828,464
600,5001,15903,421
600,4985,15855,464
600,4997,15891,450
600,4985,15855,418
600,4977,15831,370
600,5011,15933,438
600,5011,15933,415
600,4968,15804,425
600,5022,15966,442
600,4985,15855,487
600,4990,15870,492
600,4963,15789,476
600,4983,15849,473
700,5957,18921,386
700,5997,19041,349
700,5978,18984,365
700,5964,18942,416
700,5929,18837,350
700,5999,19047,500
700,6030,19140,490
700,5974,18972,465
700,5960,18930,551
700,5985,19005,433
700,6020,19110,556
700,5986,19008,548
700,6013,19089,466
700,5986,19008,564
700,5994,19032,513
700,6005,19065,552
700,5998,19044,553
700,5961,18933,537
700,5952,18906,491
700,5982,18996,389
800,6969,22107,406
800,6987,22161,387
800,7007,22221,474
800,7002,22206,595
800,6980,22140,544
800,7017,22251,793
800,7018,22254,661
800,6960,22080,792
800,6973,22119,682
800,6979,22137,741
800,7078,22434,825
800,6982,22146,950
800,7006,22218,949
800,6965,22095,948
800,6997,22191,628
800,7020,22260,1024
800,7008,22224,984
800,6970,22110,603
800,6993,22179,1114
800,6980,22140,839
900,8039,25467,407
900,8038,25464,542
900,7989,25317,564
900,8043,25479,528
900,7990,25320,557
900,8074,25572,677
900,8023,25419,595
900,8056,25518,534
900,7982,25296,773
900,8003,25359,745
900,8059,25527,719
900,8013,25389,530
900,8012,25386,585
900,8024,25422,718
900,8033,25449,811
900,8036,25458,605
900,7965,25245,712
900,7994,25332,611
900,8009,25377,717
900,8019,25407,719
1000,9017,28551,786
1000,8988,28464,722
1000,9042,28626,817
1000,8977,28431,801
1000,9023,28569,1060
1000,9025,28575,1142
1000,9061,28683,1045
1000,8963,28389,1033
1000,9011,28533,841
1000,9044,28632,1054
1000,8995,28485,944
1000,9019,28557,757
1000,9047,28641,823
1000,8966,28398,1085
1000,8995,28485,1515
1000,9032,28596,1325
1000,9011,28533,1331
1000,9029,28587,1448
1000,8996,28488,792
1000,9069,28707,991
1100,10093,31929,697
1100,10077,31881,820
1100,10087,31911,879
1100,10097,31941,907
1100,10104,31962,860
1100,10097,31941,825
1100,10095,31935,1004
1100,10123,32019,832
1100,10106,31968,901
1100,10117,32001,1105
1100,10092,31926,1104
1100,10071,31863,901
1100,10091,31923,735
1100,10082,31896,1071
1100,10092,31926,1074
1100,10063,31839,722
1100,10104,31962,751
1100,10085,31905,692
1100,10117,32001,785
1100,10095,31935,896
1200,11171,35313,1032
1200,11137,35211,957
1200,11135,35205,1055
1200,11165,35295,1042
1200,11183,35349,1022
1200,11222,35466,923
1200,11129,35187,975
1200,11238,35514,1221
1200,11135,35205,985
1200,11179,35337,1185
1200,11159,35277,1208
1200,11116,35148,1163
1200,11178,35334,1159
1200,11189,35367,1080
1200,11142,35226,780
1200,11252,35556,770
1200,11178,35334,797
1200,11162,35286,792
1200,11163,35289,930
1200,11206,35418,863
1300,12214,38592,813
1300,12208,38574,831
1300,12250,38700,871
1300,12241,38673,951
1300,12291,38823,995
1300,12233,38649,1066
1300,12284,38802,1134
1300,12190,38520,978
1300,12273,38769,1104
1300,12275,38775,1055
1300,12228,38634,1135
1300,12175,38475,1204
1300,12288,38814,1130
1300,12257,38721,833
1300,12242,38676,1125
1300,12261,38733,1080
1300,12221,38613,1141
1300,12244,38682,1135
1300,12237,38661,955
1300,12257,38721,1880
1400,13342,42126,1383
1400,13344,42132,1404
1400,13396,42288,1438
1400,13332,42096,1375
1400,13288,41964,1444
1400,13365,42195,1376
1400,13341,42123,1474
1400,13320,42060,1621
1400,13356,42168,1306
1400,13349,42147,1494
1400,13305,42015,1503
1400,13323,42069,1709
1400,13345,42135,1461
1400,13391,42273,1687
1400,13405,42315,1744
1400,13400,42300,1662
1400,13319,42057,1059
1400,13348,42144,1087
1400,13386,42258,1207
1400,13336,42108,1062
1500,14417,45501,1329
1500,14474,45672,1299
1500,14453,45609,1444
1500,14482,45696,1314
1500,14391,45423,1455
1500,14434,45552,1527
1500,14482,45696,1603
1500,14432,45546,1601
1500,14530,45840,1513
1500,14505,45765,1615
1500,14459,45627,1605
1500,14440,45570,1625
1500,14503,45759,1634
1500,14453,45609,1596
1500,14407,45471,1735
1500,14447,45591,944
1500,14460,45630,767
1500,14544,45882,1225
1500,14452,45606,874
1500,14433,45549,1027
1600,15520,48960,1343
1600,15578,49134,1297
1600,15544,49032,1439
1600,15559,49077,1261
1600,15563,49089,1583
1600,15558,49074,1580
1600,15581,49143,1516
1600,15586,49158,1582
1600,15555,49065,1389
1600,15590,49170,1583
1600,15543,49029,1554
1600,15634,49302,1570
1600,15569,49107,1408
1600,15538,49014,920
1600,15595,49185,1055
1600,15549,49047,904
1600,15536,49008,893
1600,15492,48876,859
1600,15570,49110,1250
1600,15554,49062,1294
1700,16658,52524,1307
1700,16700,52650,1356
1700,16721,52713,1388
1700,16606,52368,1424
1700,16664,52542,1416
1700,16667,52551,1638
1700,16665,52545,1865
1700,16678,52584,1817
1700,16725,52725,1835
1700,16688,52614,2180
1700,16655,52515,1766
1700,16684,52602,2098
1700,16711,52683,1954
1700,16705,52665,1253
1700,16739,52767,1331
1700,16679,52587,1575
1700,16632,52446,1037
1700,16663,52539,1235
1700,16707,52671,1283
1700,16615,52395,1325
1800,17774,56022,1818
1800,17789,56067,1868
1800,17857,56271,1826
1800,17839,56217,1759
1800,17748,55944,2033
1800,17840,56220,2060
1800,17853,56259,2018
1800,17830,56190,1986
1800,17797,56091,1871
1800,17738,55914,1923
1800,17763,55989,2146
1800,17808,56124,2162
1800,17803,56109,2000
1800,17809,56127,2543
1800,17768,56004,2729
1800,17755,55965,1275
1800,17777,56031,1103
1800,17829,56187,1338
1800,17827,56181,1189
1800,17841,56223,1440
1900,18927,59631,1464
1900,18944,59682,1519
1900,18906,59568,1668
1900,18906,59568,1703
1900,18914,59592,1698
1900,18862,59436,1606
1900,18953,59709,1860
1900,18925,59625,2005
1900,18871,59463,1933
1900,18957,59721,1901
1900,18846,59388,1710
1900,18933,59649,1942
1900,18928,59634,2118
1900,18897,59541,1237
1900,18911,59583,1137
1900,18851,59403,1098
1900,18850,59400,1258
1900,18913,59589,1441
1900,18864,59442,1571
1900,18907,59571,1350
2000,20056,63168,1448
2000,20071,63213,1631
2000,20036,63108,1760
2000,20026,63078,1814
2000,20125,63375,1866
2000,20032,63096,1918
2000,20049,63147,1757
2000,20012,63036,1853
2000,20029,63087,1936
2000,20103,63309,2067
2000,19983,62949,1949
2000,20066,63198,2069
2000,20061,63183,1969
2000,20008,63024,1371
2000,19955,62865,1298
2000,20039,63117,1433
2000,20055,63165,1416
2000,20064,63192,1568
2000,20056,63168,1689
2000,20004,63012,1589
2100,21115,66495,1768
2100,21234,66852,1853
2100,21205,66765,1913
2100,21120,66510,1847
2100,21182,66696,1969
2100,21175,66675,2194
2100,21265,66945,2630
2100,21129,66537,2101
2100,21240,66870,2403
2100,21144,66582,2375
2100,21236,66858,2759
2100,21217,66801,2563
2100,21176,66678,2883
2100,21195,66735,1253
2100,21181,66693,1732
2100,21166,66648,2060
2100,21261,66933,3222
2100,21130,66540,1818
2100,21200,66750,1839
2100,21119,66507,1200
2200,22332,70296,1855
