Mass_Size,Copy_Count,Comp_Count,Time
100,516,1698,33
100,516,1698,32
100,516,1698,31
100,516,1698,26
100,516,1698,31
100,516,1698,24
100,516,1698,32
100,516,1698,30
100,516,1698,52
100,516,1698,32
100,516,1698,32
100,516,1698,32
100,516,1698,31
100,516,1698,32
100,516,1698,30
100,516,1698,30
100,516,1698,28
100,516,1698,59
100,516,1698,27
100,516,1698,49
200,1206,3918,60
200,1206,3918,70
200,1206,3918,54
200,1206,3918,75
200,1206,3918,58
200,1206,3918,60
200,1206,3918,118
200,1206,3918,74
200,1206,3918,93
200,1206,3918,55
200,1206,3918,113
200,1206,3918,103
200,1206,3918,60
200,1206,3918,59
200,1206,3918,83
200,1206,3918,110
200,1206,3918,72
200,1206,3918,61
200,1206,3918,64
200,1206,3918,101
300,1994,6432,97
300,1994,6432,97
300,1994,6432,98
300,1994,6432,124
300,1994,6432,93
300,1994,6432,149
300,1994,6432,126
300,1994,6432,164
300,1994,6432,143
300,1994,6432,99
300,1994,6432,148
300,1994,6432,127
300,1994,6432,97
300,1994,6432,99
300,1994,6432,152
300,1994,6432,95
300,1994,6432,93
300,1994,6432,103
300,1994,6432,99
300,1994,6432,99
400,2822,9066,138
400,2822,9066,138
400,2822,9066,139
400,2822,9066,244
400,2822,9066,222
400,2822,9066,216
400,2822,9066,184
400,2822,9066,207
400,2822,9066,219
400,2822,9066,216
400,2822,9066,235
400,2822,9066,247
400,2822,9066,208
400,2822,9066,206
400,2822,9066,238
400,2822,9066,212
400,2822,9066,236
400,2822,9066,145
400,2822,9066,247
400,2822,9066,253
500,3676,11778,256
500,3676,11778,303
500,3676,11778,201
500,3676,11778,344
500,3676,11778,320
500,3676,11778,279
500,3676,11778,283
500,3676,11778,282
500,3676,11778,271
500,3676,11778,272
500,3676,11778,279
500,3676,11778,311
500,3676,11778,317
500,3676,11778,303
500,3676,11778,217
500,3676,11778,274
500,3676,11778,298
500,3676,11778,187
500,3676,11778,266
500,3676,11778,356
600,4572,14616,224
600,4572,14616,223
600,4572,14616,242
600,4572,14616,378
600,4572,14616,368
600,4572,14616,347
600,4572,14616,288
600,4572,14616,339
600,4572,14616,397
600,4572,14616,415
600,4572,14616,403
600,4572,14616,356
600,4572,14616,478
600,4572,14616,394
600,4572,14616,466
600,4572,14616,314
600,4572,14616,520
600,4572,14616,444
600,4572,14616,557
600,4572,14616,430
700,5498,17544,323
700,5498,17544,347
700,5498,17544,434
700,5498,17544,404
700,5498,17544,589
700,5498,17544,629
700,5498,17544,441
700,5498,17544,672
700,5498,17544,624
700,5498,17544,593
700,5498,17544,624
700,5498,17544,620
700,5498,17544,646
700,5498,17544,506
700,5498,17544,465
700,5498,17544,549
700,5498,17544,537
700,5498,17544,678
700,5498,17544,361
700,5498,17544,523
800,6442,20526,322
800,6442,20526,349
