Mass_Size,Copy_Count,Comp_Count,Time
100,1953,4950,98
100,1797,4950,85
100,1856,4950,82
100,1712,4950,97
100,1812,4950,87
100,1891,4950,68
100,2055,4950,83
100,1872,4950,101
100,1635,4950,87
100,2212,4950,87
100,1886,4950,134
100,1476,4950,81
100,1546,4950,95
100,2103,4950,83
100,1797,4950,83
100,1636,4950,81
100,1587,4950,84
100,1969,4950,82
100,1553,4950,84
100,1800,4950,87
200,5749,19900,242
200,5886,19900,353
200,5720,19900,241
200,5592,19900,350
200,5481,19900,337
200,5707,19900,327
200,5905,19900,242
200,6192,19900,357
200,5703,19900,243
200,5817,19900,244
200,5543,19900,500
200,5462,19900,498
200,5718,19900,477
200,5602,19900,502
200,5115,19900,475
200,6468,19900,510
200,5526,19900,490
200,5469,19900,499
200,5480,19900,394
200,6037,19900,542
300,9956,44850,682
300,10443,44850,734
300,10199,44850,658
300,11018,44850,852
300,9469,44850,836
300,10192,44850,779
300,10205,44850,830
300,10636,44850,948
300,10855,44850,872
300,10169,44850,665
300,9910,44850,802
300,9882,44850,934
300,10638,44850,755
300,10393,44850,867
300,10255,44850,917
300,10956,44850,734
300,9892,44850,684
300,9743,44850,739
300,10412,44850,690
300,10525,44850,691
400,14992,79800,1393
400,15298,79800,1377
400,15184,79800,1454
400,15061,79800,1380
400,15508,79800,1329
400,14335,79800,1537
400,16105,79800,1474
400,14302,79800,1383
400,15732,79800,1584
400,14561,79800,1502
400,14840,79800,1338
400,15023,79800,1508
400,15744,79800,1390
400,15562,79800,1586
400,15060,79800,1574
400,15285,79800,1729
400,15265,79800,1031
400,14658,79800,1042
400,14739,79800,1074
400,15747,79800,1187
500,20279,124750,2032
500,20794,124750,2235
500,20729,124750,2209
500,20397,124750,2428
500,20417,124750,2381
500,20485,124750,2277
500,20763,124750,2382
500,19362,124750,2333
500,20416,124750,2215
500,20308,124750,2583
500,20973,124750,2317
500,20133,124750,2189
500,19610,124750,2216
500,20264,124750,2491
500,19021,124750,2375
500,20852,124750,2477
500,21613,124750,1524
500,20370,124750,1511
500,21276,124750,1563
500,19582,124750,1790
600,25947,179700,3148
600,24598,179700,3150
600,23286,179700,3368
600,24598,179700,3334
600,25103,179700,3317
600,25316,179700,3245
600,24123,179700,3157
600,24981,179700,3366
600,24460,179700,3241
600,25846,179700,3338
600,25915,179700,3212
600,25698,179700,3461
600,25618,179700,3675
600,25546,179700,3440
600,24985,179700,3424
600,25105,179700,3681
600,24541,179700,2118
600,24293,179700,2096
600,24615,179700,2102
600,24400,179700,2314
700,30121,244650,4265
700,29809,244650,4419
700,29903,244650,4455
700,30765,244650,4436
700,30481,244650,4423
700,29701,244650,4641
700,31475,244650,4461
700,29915,244650,4289
700,30758,244650,4851
700,29450,244650,4422
700,30888,244650,4365
700,29890,244650,4683
700,29882,244650,4443
