Mass_Size,Copy_Count,Comp_Count,Time
100,4950,4950,97
100,4950,4950,96
100,4950,4950,77
100,4950,4950,97
100,4950,4950,95
100,4950,4950,95
100,4950,4950,96
100,4950,4950,91
100,4950,4950,109
100,4950,4950,123
100,4950,4950,100
100,4950,4950,150
100,4950,4950,95
100,4950,4950,96
100,4950,4950,95
100,4950,4950,102
100,4950,4950,92
100,4950,4950,95
100,4950,4950,98
100,4950,4950,104
200,19900,19900,372
200,19900,19900,303
200,19900,19900,370
200,19900,19900,357
200,19900,19900,377
200,19900,19900,517
200,19900,19900,511
200,19900,19900,539
200,19900,19900,537
200,19900,19900,538
200,19900,19900,484
200,19900,19900,480
200,19900,19900,535
200,19900,19900,488
200,19900,19900,517
200,19900,19900,504
200,19900,19900,516
200,19900,19900,463
200,19900,19900,485
200,19900,19900,682
300,44850,44850,975
300,44850,44850,1015
300,44850,44850,1071
300,44850,44850,964
300,44850,44850,1153
300,44850,44850,1161
300,44850,44850,1004
300,44850,44850,1205
300,44850,44850,965
300,44850,44850,1133
300,44850,44850,1415
300,44850,44850,1259
300,44850,44850,1253
300,44850,44850,1203
300,44850,44850,1092
300,44850,44850,836
300,44850,44850,918
300,44850,44850,899
300,44850,44850,862
300,44850,44850,680
400,79800,79800,1799
400,79800,79800,1943
400,79800,79800,1996
400,79800,79800,1899
400,79800,79800,2185
400,79800,79800,2203
400,79800,79800,2122
400,79800,79800,2141
400,79800,79800,2326
400,79800,79800,2156
400,79800,79800,2007
400,79800,79800,2358
400,79800,79800,2565
400,79800,79800,2790
400,79800,79800,2911
400,79800,79800,1366
400,79800,79800,1595
400,79800,79800,1301
400,79800,79800,1417
400,79800,79800,1699
500,124750,124750,2847
500,124750,124750,3113
500,124750,124750,3413
500,124750,124750,3428
500,124750,124750,3320
500,124750,124750,3524
500,124750,124750,3579
500,124750,124750,3531
500,124750,124750,3243
500,124750,124750,3244
500,124750,124750,3807
500,124750,124750,3553
500,124750,124750,3677
500,124750,124750,3814
500,124750,124750,4459
500,124750,124750,2046
500,124750,124750,2127
500,124750,124750,2817
500,124750,124750,2541
500,124750,124750,2495
600,179700,179700,4556
600,179700,179700,4167
600,179700,179700,4664
600,179700,179700,4642
600,179700,179700,4654
600,179700,179700,4907
600,179700,179700,4800
600,179700,179700,4965
600,179700,179700,4779
600,179700,179700,4879
600,179700,179700,4728
600,179700,179700,4607
600,179700,179700,4499
600,179700,179700,4627
600,179700,179700,5658
600,179700,179700,2909
600,179700,179700,2801
600,179700,179700,2772
600,179700,179700,3278
600,179700,179700,4097
700,244650,244650,6520
700,244650,244650,6564
700,244650,244650,6405
700,244650,244650,5730
700,244650,244650,6557
700,244650,244650,6773
700,244650,244650,6745
700,244650,244650,6749
700,244650,244650,6600
700,244650,244650,6575
700,244650,244650,6424
700,244650,244650,6564
700,244650,244650,6830
700,244650,244650,7267
700,244650,244650,7395
700,244650,244650,3802
700,244650,244650,3827
700,244650,244650,3778
700,244650,244650,3764
700,244650,244650,4050
800,319600,319600,8336
800,319600,319600,8505
800,319600,319600,8275
800,319600,319600,8484
800,319600,319600,8198
800,319600,319600,8424
800,319600,319600,8565
800,319600,319600,8693
800,319600,319600,8636
800,319600,319600,8877
800,319600,319600,8671
800,319600,319600,8788
800,319600,319600,8819
800,319600,319600,9287
800,319600,319600,12334
800,319600,319600,8194
800,319600,319600,4837
800,319600,319600,4897
800,319600,319600,4677
800,319600,319600,4889
900,404550,404550,10294
900,404550,404550,10343
900,404550,404550,10337
900,404550,404550,10361
900,404550,404550,10406
900,404550,404550,10503
900,404550,404550,10474
900,404550,404550,10330
900,404550,404550,10794
900,404550,404550,10690
900,404550,404550,10499
900,404550,404550,10638
900,404550,404550,10505
900,404550,404550,10764
900,404550,404550,11164
900,404550,404550,11691
900,404550,404550,6023
900,404550,404550,6118
900,404550,404550,6186
900,404550,404550,6318
1000,499500,499500,12607
1000,499500,499500,12699
1000,499500,499500,12896
1000,499500,499500,12832
1000,499500,499500,12695
1000,499500,499500,13118
1000,499500,499500,12678
