Mass_Size,Copy_Count,Comp_Count,Time
100,0,4950,98
100,0,4950,124
100,0,4950,98
100,0,4950,97
100,0,4950,97
100,0,4950,98
100,0,4950,99
100,0,4950,100
100,0,4950,99
100,0,4950,83
100,0,4950,84
100,0,4950,73
100,0,4950,83
100,0,4950,83
100,0,4950,84
100,0,4950,84
100,0,4950,83
100,0,4950,93
100,0,4950,91
100,0,4950,107
200,0,19900,327
200,0,19900,285
200,0,19900,343
200,0,19900,176
200,0,19900,416
200,0,19900,364
200,0,19900,447
200,0,19900,332
200,0,19900,227
200,0,19900,420
200,0,19900,502
200,0,19900,437
200,0,19900,529
200,0,19900,417
200,0,19900,488
200,0,19900,323
200,0,19900,635
200,0,19900,631
200,0,19900,651
200,0,19900,659
300,0,44850,824
300,0,44850,882
300,0,44850,1001
300,0,44850,1068
300,0,44850,1177
300,0,44850,1296
300,0,44850,1151
300,0,44850,1049
300,0,44850,1477
300,0,44850,1494
300,0,44850,1400
300,0,44850,1377
300,0,44850,1512
300,0,44850,1199
300,0,44850,1432
300,0,44850,1170
300,0,44850,1133
300,0,44850,920
300,0,44850,1063
300,0,44850,1281
400,0,79800,1999
400,0,79800,2282
400,0,79800,2250
400,0,79800,2354
400,0,79800,2494
400,0,79800,2665
400,0,79800,2638
400,0,79800,2502
400,0,79800,2626
400,0,79800,2641
400,0,79800,2421
400,0,79800,2655
400,0,79800,2848
400,0,79800,2682
400,0,79800,1626
400,0,79800,1620
400,0,79800,1732
400,0,79800,1609
400,0,79800,2683
400,0,79800,2593
500,0,124750,3274
500,0,124750,3366
500,0,124750,3283
500,0,124750,3525
500,0,124750,3660
500,0,124750,3610
500,0,124750,3650
500,0,124750,3832
500,0,124750,4131
500,0,124750,3961
500,0,124750,4141
500,0,124750,3975
500,0,124750,3963
500,0,124750,3898
500,0,124750,3923
500,0,124750,2566
500,0,124750,2339
500,0,124750,2504
500,0,124750,2267
500,0,124750,2467
600,0,179700,4424
600,0,179700,4865
600,0,179700,5370
600,0,179700,5479
600,0,179700,5691
600,0,179700,5718
600,0,179700,5692
600,0,179700,5687
600,0,179700,5937
600,0,179700,5585
600,0,179700,5945
600,0,179700,5760
600,0,179700,6005
600,0,179700,6294
600,0,179700,6814
600,0,179700,3861
600,0,179700,4283
600,0,179700,3317
600,0,179700,3059
600,0,179700,3320
700,0,244650,7213
700,0,244650,7635
700,0,244650,7603
700,0,244650,7693
700,0,244650,7843
700,0,244650,7802
700,0,244650,7842
700,0,244650,7698
700,0,244650,7928
700,0,244650,7601
700,0,244650,7737
700,0,244650,8245
700,0,244650,8139
700,0,244650,8334
700,0,244650,8037
700,0,244650,9285
700,0,244650,4049
700,0,244650,4140
700,0,244650,4186
700,0,244650,5123
