Mass_Size,Copy_Count,Comp_Count,Time
100,269,372,28
100,268,448,19
100,265,423,25
100,259,382,19
100,273,401,26
100,261,459,27
100,271,427,22
100,272,405,21
100,262,387,24
100,267,381,55
100,265,411,27
100,255,550,24
100,269,409,27
100,255,419,23
100,269,367,27
100,270,507,26
100,265,502,32
100,268,443,18
100,268,379,32
100,250,488,22
200,621,982,41
200,656,1134,79
200,657,1072,40
200,637,1188,59
200,669,1335,62
200,611,1043,75
200,642,1342,48
200,617,1061,60
200,620,996,41
200,650,1236,62
200,609,1125,76
200,677,1040,96
200,621,1323,44
200,642,1014,77
200,645,1265,43
200,639,1067,50
200,626,1271,75
200,624,1020,41
200,620,1018,44
200,637,912,64
300,1100,1586,83
300,1102,1838,119
300,1141,1781,88
300,1132,1807,97
300,1087,1711,79
300,1108,1915,85
300,1098,2110,102
300,1086,2229,106
300,1075,1995,88
300,1145,1729,135
300,1096,1721,72
300,1126,1689,207
300,1130,1813,122
300,1136,1797,67
300,1100,1667,102
300,1129,1809,80
300,1095,1594,92
300,1119,1656,87
300,1114,1683,160
300,1132,1904,109
400,1707,2861,105
400,1702,2651,115
400,1674,3044,140
400,1664,2638,134
400,1677,2662,122
400,1655,3178,138
400,1702,2556,103
400,1697,2533,156
400,1686,2617,215
400,1706,2703,135
400,1691,2646,150
400,1734,2459,130
400,1638,2913,213
400,1642,2387,130
400,1733,2507,232
400,1772,2474,108
400,1648,2753,110
400,1652,2897,147
400,1653,2416,280
400,1691,2927,152
500,2372,3866,138
500,2379,3979,160
500,2353,3521,148
500,2409,3723,196
500,2348,3969,241
500,2377,3437,205
500,2466,3499,257
500,2344,3616,196
500,2381,3848,250
500,2282,4101,286
500,2370,3280,220
500,2328,3250,399
500,2420,3311,322
500,2330,3821,246
500,2402,3550,168
500,2289,3316,139
500,2355,3570,424
500,2274,3891,216
500,2342,3823,404
500,2307,3185,421
600,3052,4376,187
600,3102,4768,182
600,3079,4325,192
600,3110,4310,294
600,3139,4329,194
600,3067,4339,387
600,3183,4165,308
600,3118,4975,235
600,3072,4532,252
600,3130,5011,209
600,3136,5312,274
600,3175,4169,257
600,3158,4780,458
600,3104,5506,217
600,3227,4064,224
600,3097,4971,409
600,3141,4597,243
600,3185,4784,228
600,3125,4452,595
600,3235,4098,498
700,4086,5755,271
700,3959,6688,301
700,3937,5073,273
700,4153,5847,232
700,3970,5980,287
700,3968,6306,383
700,4147,5555,419
700,4000,5642,379
700,3882,6523,330
700,4005,6618,351
700,3994,5592,493
700,4006,5334,347
700,4053,5571,492
700,4085,5435,512
700,3946,6125,354
700,3960,5399,534
700,3962,5906,404
700,3961,5496,363
700,4039,5612,563
700,3977,5549,514
800,4986,6668,331
800,4926,6776,338
800,4879,7377,313
800,4896,7349,368
800,4927,7337,463
800,4885,7834,394
800,4978,6791,404
800,4928,6784,480
800,4938,6471,435
800,4871,7112,377
800,5005,6938,451
800,5012,6746,436
800,4851,7126,560
800,4859,6605,286
800,4859,6835,416
800,4894,6905,476
800,5072,6728,437
800,4999,6350,459
800,5024,7325,543
800,4914,7130,483
900,6004,8243,437
900,5952,8188,490
900,6022,8555,510
900,6108,8360,457
900,6006,9926,498
900,5921,8452,701
900,6123,9426,667
900,5886,7986,623
900,5879,9278,603
900,6044,8194,455
900,5974,9049,719
900,6081,8606,619
900,5914,8274,833
900,5963,8874,680
900,6020,7877,597
900,6059,7728,552
900,6044,7920,617
900,5911,7948,974
900,6079,8035,547
900,5949,8931,482
1000,7066,10692,394
1000,7318,9498,462
1000,7073,10460,536
1000,7217,8875,545
1000,7254,9882,567
1000,7138,9207,848
1000,7208,9820,736
1000,7103,10717,845
1000,7326,9717,656
1000,7103,9489,817
1000,7121,9415,804
1000,7141,9451,759
1000,7122,9787,696
1000,7151,9406,586
1000,7209,10287,710
1000,7217,9082,775
1000,7276,10022,754
1000,7142,9443,626
1000,7113,9053,656
1000,7165,9368,604
1100,8523,12004,634
1100,8432,10810,620
1100,8418,11084,653
1100,8516,11538,740
