Mass_Size,Copy_Count,Comp_Count,Time
100,149,2549,72
100,149,2549,58
100,149,2549,74
100,149,2549,58
100,149,2549,71
100,149,2549,57
100,149,2549,57
100,149,2549,73
100,149,2549,119
100,149,2549,84
100,149,2549,132
100,149,2549,100
100,149,2549,80
100,149,2549,66
100,149,2549,83
100,149,2549,101
100,149,2549,96
100,149,2549,84
100,149,2549,68
100,149,2549,92
200,299,10099,228
200,299,10099,311
200,299,10099,308
200,299,10099,301
200,299,10099,291
200,299,10099,313
200,299,10099,317
200,299,10099,289
200,299,10099,459
200,299,10099,463
200,299,10099,369
200,299,10099,327
200,299,10099,447
200,299,10099,396
200,299,10099,471
200,299,10099,456
200,299,10099,345
200,299,10099,335
200,299,10099,340
200,299,10099,347
300,449,22649,684
300,449,22649,700
300,449,22649,715
300,449,22649,627
300,449,22649,892
300,449,22649,873
300,449,22649,911
300,449,22649,781
300,449,22649,847
300,449,22649,786
300,449,22649,665
300,449,22649,755
300,449,22649,956
300,449,22649,911
300,449,22649,879
300,449,22649,652
300,449,22649,663
300,449,22649,1062
300,449,22649,782
300,449,22649,724
400,599,40199,1241
400,599,40199,1269
400,599,40199,1257
400,599,40199,1427
400,599,40199,1465
400,599,40199,1378
400,599,40199,1414
400,599,40199,1274
400,599,40199,1380
400,599,40199,1528
400,599,40199,1436
400,599,40199,1571
400,599,40199,1425
400,599,40199,1402
400,599,40199,1438
400,599,40199,1682
400,599,40199,1021
400,599,40199,1055
400,599,40199,989
400,599,40199,1131
500,749,62749,2033
500,749,62749,2043
500,749,62749,1990
500,749,62749,2207
500,749,62749,2008
500,749,62749,2310
500,749,62749,2154
500,749,62749,2201
500,749,62749,2271
500,749,62749,2349
500,749,62749,2178
500,749,62749,2697
500,749,62749,2344
500,749,62749,2469
500,749,62749,2371
500,749,62749,2756
500,749,62749,1524
500,749,62749,1495
500,749,62749,1589
500,749,62749,1470
600,899,90299,2927
600,899,90299,3027
600,899,90299,3099
600,899,90299,3122
600,899,90299,2941
600,899,90299,3252
600,899,90299,3054
600,899,90299,3193
600,899,90299,3413
600,899,90299,3518
600,899,90299,3101
600,899,90299,3345
600,899,90299,3107
600,899,90299,3208
600,899,90299,3408
600,899,90299,3588
600,899,90299,2101
600,899,90299,2035
600,899,90299,2066
600,899,90299,2036
700,1049,122849,3979
700,1049,122849,3949
700,1049,122849,4083
700,1049,122849,4054
700,1049,122849,4174
700,1049,122849,4225
700,1049,122849,4102
700,1049,122849,4072
700,1049,122849,3962
700,1049,122849,4317
700,1049,122849,4300
700,1049,122849,4271
700,1049,122849,4513
700,1049,122849,4246
700,1049,122849,4348
