Mass_Size,Copy_Count,Comp_Count,Time
100,199,99,87
100,199,99,90
100,199,99,73
100,199,99,73
100,199,99,60
100,199,99,62
100,199,99,60
100,199,99,59
100,199,99,79
100,199,99,77
100,199,99,75
100,199,99,78
100,199,99,72
100,199,99,71
100,199,99,69
100,199,99,86
100,199,99,77
100,199,99,66
100,199,99,86
100,199,99,87
200,399,199,199
200,399,199,259
200,399,199,235
200,399,199,287
200,399,199,271
200,399,199,248
200,399,199,262
200,399,199,276
200,399,199,249
200,399,199,298
200,399,199,339
200,399,199,431
200,399,199,400
200,399,199,385
200,399,199,325
200,399,199,267
200,399,199,421
200,399,199,343
200,399,199,209
200,399,199,361
300,599,299,466
300,599,299,563
300,599,299,668
300,599,299,751
300,599,299,555
300,599,299,1057
300,599,299,973
300,599,299,1094
300,599,299,1189
300,599,299,784
300,599,299,847
300,599,299,869
300,599,299,1094
300,599,299,1108
300,599,299,1033
300,599,299,1079
300,599,299,1110
300,599,299,524
300,599,299,803
300,599,299,1170
400,799,399,1053
400,799,399,1138
400,799,399,1187
400,799,399,1297
400,799,399,1288
400,799,399,1058
400,799,399,1287
400,799,399,1424
400,799,399,1439
400,799,399,1600
400,799,399,1253
400,799,399,1519
400,799,399,1636
400,799,399,1496
400,799,399,870
400,799,399,2192
400,799,399,1080
400,799,399,1229
400,799,399,2022
400,799,399,865
500,999,499,1604
500,999,499,1679
500,999,499,2001
500,999,499,2070
500,999,499,2256
500,999,499,2263
500,999,499,2345
500,999,499,2384
500,999,499,2279
500,999,499,2024
500,999,499,2282
500,999,499,2161
500,999,499,2129
500,999,499,2497
500,999,499,2645
500,999,499,2632
500,999,499,1167
500,999,499,1432
500,999,499,1611
500,999,499,1479
600,1199,599,2762
600,1199,599,2819
600,1199,599,2840
600,1199,599,3070
600,1199,599,3169
600,1199,599,2913
600,1199,599,3018
600,1199,599,2911
600,1199,599,3184
600,1199,599,3354
600,1199,599,3368
600,1199,599,3122
600,1199,599,3122
600,1199,599,3502
600,1199,599,3312
600,1199,599,3768
600,1199,599,1877
600,1199,599,1834
600,1199,599,1734
600,1199,599,1942
700,1399,699,4076
700,1399,699,4209
700,1399,699,4259
700,1399,699,4233
700,1399,699,4238
700,1399,699,4316
700,1399,699,4293
700,1399,699,4257
700,1399,699,4413
700,1399,699,4343
700,1399,699,4407
700,1399,699,4319
700,1399,699,4413
700,1399,699,4350
700,1399,699,4606
700,1399,699,4870
700,1399,699,2332
700,1399,699,2447
700,1399,699,2595
700,1399,699,2659
800,1599,799,5547
800,1599,799,5633
800,1599,799,5749
800,1599,799,5652
800,1599,799,5648
800,1599,799,5928
800,1599,799,5676
800,1599,799,5754
800,1599,799,5999
800,1599,799,6141
800,1599,799,5988
800,1599,799,6141
800,1599,799,5996
800,1599,799,5970
800,1599,799,6034
800,1599,799,5907
800,1599,799,3080
800,1599,799,3062
800,1599,799,3076
800,1599,799,2978
900,1799,899,7205
900,1799,899,7341
900,1799,899,7348
900,1799,899,7324
900,1799,899,7314
900,1799,899,7486
900,1799,899,7407
900,1799,899,7355
900,1799,899,7462
900,1799,899,7773
900,1799,899,7549
900,1799,899,7520
900,1799,899,7849
900,1799,899,7704
900,1799,899,7835
900,1799,899,8518
900,1799,899,3773
900,1799,899,3956
900,1799,899,3774
900,1799,899,4386
1000,1999,999,8909
1000,1999,999,9121
1000,1999,999,9161
1000,1999,999,9129
1000,1999,999,9022
1000,1999,999,9424
1000,1999,999,9427
1000,1999,999,9278
1000,1999,999,9080
1000,1999,999,9191
1000,1999,999,9438
1000,1999,999,9357
1000,1999,999,9197
1000,1999,999,9399
1000,1999,999,9766
1000,1999,999,10219
1000,1999,999,4758
1000,1999,999,4437
1000,1999,999,4528
1000,1999,999,5099
1100,2199,1099,10700
1100,2199,1099,11052
1100,2199,1099,11116
1100,2199,1099,11272
1100,2199,1099,11148
1100,2199,1099,11097
1100,2199,1099,11131
1100,2199,1099,11594
1100,2199,1099,11427
1100,2199,1099,11333
1100,2199,1099,11613
1100,2199,1099,11826
1100,2199,1099,11623
1100,2199,1099,11890
1100,2199,1099,11531
1100,2199,1099,11707
1100,2199,1099,5749
1100,2199,1099,5756
1100,2199,1099,5242
1100,2199,1099,5671
1200,2399,1199,11451
1200,2399,1199,11857
1200,2399,1199,12583
1200,2399,1199,12821
1200,2399,1199,12613
1200,2399,1199,12999
1200,2399,1199,12862
1200,2399,1199,13287
1200,2399,1199,13472
1200,2399,1199,13540
1200,2399,1199,13478
1200,2399,1199,13696
1200,2399,1199,14967
1200,2399,1199,15553
1200,2399,1199,16819
1200,2399,1199,9658
1200,2399,1199,6692
1200,2399,1199,6525
1200,2399,1199,6559
1200,2399,1199,9584
1300,2599,1299,14507
1300,2599,1299,14832
1300,2599,1299,15153
1300,2599,1299,14958
1300,2599,1299,15375
1300,2599,1299,15339
1300,2599,1299,15270
1300,2599,1299,15537
1300,2599,1299,15327
1300,2599,1299,15784
1300,2599,1299,15486
1300,2599,1299,15585
1300,2599,1299,16820
1300,2599,1299,18976
1300,2599,1299,19390
1300,2599,1299,15458
1300,2599,1299,7603
1300,2599,1299,7440
1300,2599,1299,8561
1300,2599,1299,11028
1400,2799,1399,14482
1400,2799,1399,16656
1400,2799,1399,16962
1400,2799,1399,17050
1400,2799,1399,16829
