Mass_Size,Copy_Count,Comp_Count,Time
100,99,4950,57
100,99,4950,71
100,99,4950,71
100,99,4950,72
100,99,4950,71
100,99,4950,56
100,99,4950,71
100,99,4950,72
100,99,4950,72
100,99,4950,74
100,99,4950,126
100,99,4950,79
100,99,4950,122
100,99,4950,70
100,99,4950,57
100,99,4950,72
100,99,4950,71
100,99,4950,72
100,99,4950,57
100,99,4950,81
200,199,19900,213
200,199,19900,212
200,199,19900,281
200,199,19900,267
200,199,19900,310
200,199,19900,267
200,199,19900,266
200,199,19900,212
200,199,19900,274
200,199,19900,391
200,199,19900,367
200,199,19900,446
200,199,19900,282
200,199,19900,431
200,199,19900,427
200,199,19900,267
200,199,19900,421
200,199,19900,348
200,199,19900,217
200,199,19900,395
300,299,44850,619
300,299,44850,593
300,299,44850,591
300,299,44850,585
300,299,44850,579
300,299,44850,689
300,299,44850,876
300,299,44850,592
300,299,44850,746
300,299,44850,815
300,299,44850,587
300,299,44850,579
300,299,44850,765
300,299,44850,750
300,299,44850,666
300,299,44850,826
300,299,44850,607
300,299,44850,676
300,299,44850,597
300,299,44850,617
400,399,79800,1203
400,399,79800,1212
400,399,79800,1242
400,399,79800,1147
400,399,79800,1218
400,399,79800,1384
400,399,79800,1328
400,399,79800,1337
400,399,79800,1150
400,399,79800,1222
400,399,79800,1533
400,399,79800,1382
400,399,79800,1385
400,399,79800,1232
400,399,79800,1449
400,399,79800,1527
400,399,79800,962
400,399,79800,973
400,399,79800,1016
400,399,79800,1021
500,499,124750,2010
500,499,124750,1978
500,499,124750,2165
500,499,124750,2110
500,499,124750,2124
500,499,124750,1985
500,499,124750,2211
500,499,124750,2357
500,499,124750,1961
500,499,124750,2119
500,499,124750,2271
500,499,124750,2117
500,499,124750,2562
500,499,124750,2202
500,499,124750,2459
500,499,124750,2439
500,499,124750,1471
500,499,124750,1398
500,499,124750,1408
500,499,124750,1498
600,599,179700,2758
600,599,179700,2807
600,599,179700,2987
600,599,179700,2977
600,599,179700,3143
600,599,179700,3098
600,599,179700,2952
600,599,179700,2988
600,599,179700,2947
600,599,179700,3262
600,599,179700,2940
600,599,179700,2979
600,599,179700,3238
600,599,179700,3462
600,599,179700,3210
600,599,179700,3508
600,599,179700,2015
600,599,179700,2009
600,599,179700,1939
600,599,179700,1923
700,699,244650,3907
700,699,244650,4125
700,699,244650,4167
700,699,244650,4093
700,699,244650,4165
700,699,244650,4213
700,699,244650,4228
700,699,244650,4167
700,699,244650,4029
700,699,244650,4229
700,699,244650,4385
700,699,244650,3988
700,699,244650,4083
700,699,244650,4193
700,699,244650,4385
700,699,244650,4461
700,699,244650,2658
700,699,244650,2568
700,699,244650,2624
700,699,244650,2626
800,799,319600,4947
800,799,319600,5065
800,799,319600,5068
800,799,319600,5177
800,799,319600,5098
800,799,319600,5264
800,799,319600,5138
800,799,319600,5349
800,799,319600,5231
800,799,319600,4960
800,799,319600,5113
800,799,319600,5072
800,799,319600,5075
800,799,319600,5238
800,799,319600,5358
800,799,319600,5469
800,799,319600,3251
800,799,319600,3283
800,799,319600,3294
800,799,319600,3345
900,899,404550,6431
900,899,404550,6462
900,899,404550,6680
900,899,404550,6571
900,899,404550,6573
900,899,404550,6596
900,899,404550,6886
900,899,404550,6819
900,899,404550,6951
900,899,404550,6955
900,899,404550,6681
900,899,404550,7054
900,899,404550,6880
900,899,404550,6870
900,899,404550,7074
900,899,404550,6996
900,899,404550,4103
900,899,404550,4148
900,899,404550,4048
900,899,404550,4165
1000,999,499500,9319
1000,999,499500,9553
1000,999,499500,9471
1000,999,499500,9431
1000,999,499500,9665
1000,999,499500,9746
1000,999,499500,9909
1000,999,499500,9444
1000,999,499500,9437
1000,999,499500,9602
1000,999,499500,9714
1000,999,499500,9787
1000,999,499500,9686
1000,999,499500,9978
1000,999,499500,9920
1000,999,499500,9795
