Mass_Size,Copy_Count,Comp_Count,Time
100,99,4950,72
100,99,4950,72
100,99,4950,72
100,99,4950,90
100,99,4950,57
100,99,4950,71
100,99,4950,71
100,99,4950,71
100,99,4950,74
100,99,4950,75
100,99,4950,116
100,99,4950,104
100,99,4950,78
100,99,4950,87
100,99,4950,63
100,99,4950,129
100,99,4950,63
100,99,4950,78
100,99,4950,65
100,99,4950,89
200,199,19900,229
200,199,19900,318
200,199,19900,329
200,199,19900,338
200,199,19900,329
200,199,19900,326
200,199,19900,287
200,199,19900,284
200,199,19900,436
200,199,19900,480
200,199,19900,482
200,199,19900,324
200,199,19900,448
200,199,19900,509
200,199,19900,454
200,199,19900,531
200,199,19900,513
200,199,19900,485
200,199,19900,482
200,199,19900,526
300,299,44850,955
300,299,44850,948
300,299,44850,837
300,299,44850,1158
300,299,44850,1112
300,299,44850,1047
300,299,44850,1061
300,299,44850,704
300,299,44850,1341
300,299,44850,1000
300,299,44850,996
300,299,44850,999
300,299,44850,1271
300,299,44850,1260
300,299,44850,1221
300,299,44850,1182
300,299,44850,848
300,299,44850,736
300,299,44850,734
300,299,44850,583
400,399,79800,1005
400,399,79800,1068
400,399,79800,1142
400,399,79800,1283
400,399,79800,1219
400,399,79800,1234
400,399,79800,1468
400,399,79800,1234
400,399,79800,1681
400,399,79800,1450
400,399,79800,1743
400,399,79800,1273
400,399,79800,1558
400,399,79800,1339
400,399,79800,1182
400,399,79800,1141
400,399,79800,1603
400,399,79800,1394
400,399,79800,1571
400,399,79800,1519
500,499,124750,2123
500,499,124750,2096
500,499,124750,2035
500,499,124750,2179
500,499,124750,2116
500,499,124750,2313
500,499,124750,2268
500,499,124750,2301
500,499,124750,2094
500,499,124750,2077
500,499,124750,2147
500,499,124750,2420
500,499,124750,2394
500,499,124750,2535
500,499,124750,2772
500,499,124750,2714
500,499,124750,1476
500,499,124750,1607
500,499,124750,1616
500,499,124750,1491
600,599,179700,3050
600,599,179700,2994
600,599,179700,2984
600,599,179700,3189
600,599,179700,3214
600,599,179700,3277
600,599,179700,3196
600,599,179700,3186
600,599,179700,3028
600,599,179700,3187
600,599,179700,2990
600,599,179700,3178
600,599,179700,3069
600,599,179700,3187
600,599,179700,3416
600,599,179700,3404
600,599,179700,2091
600,599,179700,2022
600,599,179700,2082
600,599,179700,2157
700,699,244650,4179
700,699,244650,4162
700,699,244650,4137
700,699,244650,4226
700,699,244650,4312
700,699,244650,4378
700,699,244650,4415
700,699,244650,4228
700,699,244650,4163
700,699,244650,4333
700,699,244650,4420
700,699,244650,4152
700,699,244650,4514
700,699,244650,4300
700,699,244650,4466
700,699,244650,4465
700,699,244650,2767
700,699,244650,2747
700,699,244650,2785
700,699,244650,2836
800,799,319600,5462
800,799,319600,5396
800,799,319600,5439
800,799,319600,5476
800,799,319600,5581
800,799,319600,5582
800,799,319600,5490
800,799,319600,5443
800,799,319600,5587
800,799,319600,5863
800,799,319600,5471
800,799,319600,5580
800,799,319600,5617
800,799,319600,5738
800,799,319600,5949
800,799,319600,7726
800,799,319600,3550
800,799,319600,3784
800,799,319600,3584
800,799,319600,3384
900,899,404550,7402
900,899,404550,7923
900,899,404550,8245
900,899,404550,8198
900,899,404550,8531
900,899,404550,8456
900,899,404550,8067
900,899,404550,8599
900,899,404550,8267
900,899,404550,8003
900,899,404550,8358
900,899,404550,8290
900,899,404550,8338
900,899,404550,9609
900,899,404550,4477
900,899,404550,4293
900,899,404550,4249
900,899,404550,6431
900,899,404550,7465
900,899,404550,6502
1000,999,499500,9085
1000,999,499500,9151
1000,999,499500,9332
1000,999,499500,9066
1000,999,499500,9587
1000,999,499500,9683
1000,999,499500,9319
1000,999,499500,9531
1000,999,499500,9607
1000,999,499500,9303
1000,999,499500,9464
1000,999,499500,9708
1000,999,499500,9450
1000,999,499500,9749
1000,999,499500,10938
1000,999,499500,5391
1000,999,499500,5366
1000,999,499500,5313
1000,999,499500,5328
1000,999,499500,5132
1100,1099,604450,10446
1100,1099,604450,10805
