Mass_Size,Copy_Count,Comp_Count,Time
100,99,4950,53
100,99,4950,52
100,99,4950,52
100,99,4950,115
100,99,4950,65
100,99,4950,52
100,99,4950,52
100,99,4950,67
100,99,4950,85
100,99,4950,84
100,99,4950,78
100,99,4950,54
100,99,4950,55
100,99,4950,105
100,99,4950,52
100,99,4950,102
100,99,4950,52
100,99,4950,58
100,99,4950,48
100,99,4950,126
200,199,19900,173
200,199,19900,217
200,199,19900,162
200,199,19900,223
200,199,19900,219
200,199,19900,219
200,199,19900,219
200,199,19900,268
200,199,19900,217
200,199,19900,160
200,199,19900,242
200,199,19900,353
200,199,19900,316
200,199,19900,221
200,199,19900,460
200,199,19900,462
200,199,19900,243
200,199,19900,204
200,199,19900,234
200,199,19900,385
300,299,44850,554
300,299,44850,671
300,299,44850,629
300,299,44850,791
300,299,44850,886
300,299,44850,941
300,299,44850,630
300,299,44850,664
300,299,44850,773
300,299,44850,1082
300,299,44850,1188
300,299,44850,1340
300,299,44850,1126
300,299,44850,1072
300,299,44850,659
300,299,44850,909
300,299,44850,1123
300,299,44850,794
300,299,44850,1471
300,299,44850,852
400,399,79800,1541
400,399,79800,1529
400,399,79800,1663
400,399,79800,1701
400,399,79800,1501
400,399,79800,1858
400,399,79800,1653
400,399,79800,1876
400,399,79800,1844
400,399,79800,1858
400,399,79800,2531
400,399,79800,2606
400,399,79800,2853
400,399,79800,1274
400,399,79800,2775
400,399,79800,2773
400,399,79800,2742
400,399,79800,1322
400,399,79800,1394
400,399,79800,1193
500,499,124750,3057
500,499,124750,3045
500,499,124750,3097
500,499,124750,3142
500,499,124750,3157
500,499,124750,3148
500,499,124750,3171
500,499,124750,3122
500,499,124750,3280
500,499,124750,3265
500,499,124750,3489
500,499,124750,3295
500,499,124750,3474
500,499,124750,3590
500,499,124750,3754
500,499,124750,4069
500,499,124750,2269
500,499,124750,2384
500,499,124750,2395
500,499,124750,2566
600,599,179700,5546
600,599,179700,5537
600,599,179700,5665
600,599,179700,5557
600,599,179700,5880
600,599,179700,5965
600,599,179700,6002
600,599,179700,5564
600,599,179700,5566
600,599,179700,5557
600,599,179700,6182
600,599,179700,6284
600,599,179700,6168
600,599,179700,6097
600,599,179700,6188
600,599,179700,5969
600,599,179700,3350
