Mass_Size,Copy_Count,Comp_Count,Time
100,354,354,39
100,381,381,27
100,464,464,46
100,415,415,26
100,440,440,44
100,397,397,27
100,374,374,25
100,359,359,24
100,345,345,39
100,386,386,31
100,370,370,26
100,417,417,26
100,363,363,25
100,350,350,27
100,432,432,34
100,383,383,27
100,382,382,26
100,396,396,26
100,482,482,40
100,418,418,30
200,913,913,60
200,973,973,61
200,923,923,74
200,923,923,60
200,944,944,76
200,860,860,58
200,1014,1014,77
200,943,943,60
200,954,954,76
200,907,907,59
200,870,870,72
200,886,886,59
200,879,879,93
200,968,968,62
200,1100,1100,67
200,959,959,62
200,878,878,75
200,1005,1005,82
200,929,929,81
200,931,931,65
300,1521,1521,99
300,1254,1254,110
300,1332,1332,119
300,1329,1329,94
300,1436,1436,122
300,1308,1308,105
300,1318,1318,119
300,1279,1279,110
300,1258,1258,116
300,1393,1393,119
300,1296,1296,104
300,1178,1178,137
300,1482,1482,123
300,1289,1289,93
300,1338,1338,100
300,1363,1363,121
300,1327,1327,104
300,1442,1442,106
300,1330,1330,106
300,1163,1163,101
400,2463,2463,148
400,2449,2449,146
400,2458,2458,145
400,2496,2496,185
400,2501,2501,147
400,2283,2283,147
400,2242,2242,141
400,2444,2444,144
400,2240,2240,213
400,2329,2329,219
400,2398,2398,259
400,2188,2188,139
400,2244,2244,254
400,2288,2288,220
400,2328,2328,148
400,2165,2165,282
400,2277,2277,282
400,2271,2271,146
400,2123,2123,163
400,2346,2346,160
500,2348,2348,168
500,2276,2276,177
500,2555,2555,169
500,2511,2511,178
500,2747,2747,183
500,2380,2380,164
500,2476,2476,167
500,2745,2745,267
500,2594,2594,245
500,2422,2422,282
500,2613,2613,315
500,2349,2349,302
500,2339,2339,274
500,2461,2461,307
500,2507,2507,309
500,2270,2270,235
500,2601,2601,175
500,2268,2268,168
500,2416,2416,255
500,2319,2319,273
600,2875,2875,209
600,3015,3015,224
600,3109,3109,249
600,3271,3271,271
600,2837,2837,208
600,3189,3189,220
600,3563,3563,229
600,3139,3139,316
600,3186,3186,395
600,3166,3166,219
600,3160,3160,392
600,3118,3118,359
600,3102,3102,392
600,3459,3459,383
600,3205,3205,404
600,3400,3400,402
600,3500,3500,248
600,3333,3333,388
600,3535,3535,422
600,3165,3165,388
700,3604,3604,284
700,3505,3505,319
700,3943,3943,307
700,3592,3592,267
700,3628,3628,375
700,3471,3471,307
700,3918,3918,381
700,3619,3619,371
700,3487,3487,390
700,3541,3541,299
700,3859,3859,510
700,3627,3627,372
700,3551,3551,336
700,3638,3638,511
700,3805,3805,443
700,3696,3696,509
700,3694,3694,384
700,3563,3563,496
700,3594,3594,372
700,3715,3715,510
800,5361,5361,406
800,5538,5538,385
800,5193,5193,447
800,5843,5843,439
800,5166,5166,385
800,5446,5446,398
800,5323,5323,452
800,5431,5431,556
800,5200,5200,416
800,5642,5642,411
800,5368,5368,393
800,5644,5644,603
800,5341,5341,589
800,5421,5421,452
800,6297,6297,636
800,6095,6095,601
800,5532,5532,529
800,5057,5057,535
800,5159,5159,486
800,5137,5137,519
900,6305,6305,532
900,7536,7536,549
900,6615,6615,574
900,6663,6663,530
900,7443,7443,642
900,7305,7305,623
900,6738,6738,651
900,8235,8235,700
900,7151,7151,568
900,7477,7477,740
900,6434,6434,609
900,7206,7206,712
900,6787,6787,568
900,7420,7420,768
900,6447,6447,675
900,7206,7206,615
900,7535,7535,593
900,8085,8085,578
900,7172,7172,887
900,6993,6993,736
1000,5830,5830,442
1000,6071,6071,490
1000,6250,6250,508
1000,5486,5486,647
1000,5551,5551,590
1000,6128,6128,581
1000,5651,5651,589
1000,5714,5714,648
1000,6025,6025,607
1000,5361,5361,580
1000,5917,5917,573
1000,5464,5464,555
1000,5548,5548,651
1000,5663,5663,720
1000,6237,6237,858
1000,5952,5952,716
1000,5911,5911,586
1000,5872,5872,667
1000,6899,6899,678
1000,5857,5857,621
1100,5991,5991,677
1100,6286,6286,681
1100,6553,6553,657
1100,7006,7006,718
1100,6656,6656,653
1100,6566,6566,713
1100,6585,6585,873
1100,6339,6339,750
1100,6400,6400,640
1100,6782,6782,806
1100,7117,7117,709
1100,6697,6697,640
1100,6469,6469,785
1100,6540,6540,673
1100,7112,7112,935
1100,6277,6277,872
1100,7509,7509,624
1100,6740,6740,615
1100,7325,7325,693
1100,6726,6726,597
1200,8019,8019,806
1200,7359,7359,840
1200,8185,8185,855
1200,7819,7819,879
1200,7191,7191,853
1200,7424,7424,871
1200,7845,7845,851
1200,7701,7701,854
1200,7393,7393,912
1200,7987,7987,795
1200,7188,7188,885
1200,7624,7624,1091
1200,7149,7149,899
1200,7314,7314,1078
1200,7618,7618,1100
1200,8079,8079,1136
1200,8082,8082,790
1200,7367,7367,819
1200,7912,7912,765
1200,7446,7446,835
1300,9633,9633,947
1300,10268,10268,1056
1300,10038,10038,990
1300,9466,9466,1033
1300,10156,10156,1053
1300,9183,9183,981
1300,8583,8583,965
1300,9139,9139,1044
1300,9551,9551,904
1300,9496,9496,1044
1300,8373,8373,1020
1300,10009,10009,1118
1300,8946,8946,1208
1300,8891,8891,1218
1300,10172,10172,1295
1300,9628,9628,1289
1300,9081,9081,821
1300,9222,9222,942
1300,10167,10167,849
1300,9428,9428,879
1400,8441,8441,875
1400,8219,8219,895
1400,8274,8274,1048
1400,8530,8530,1046
1400,8349,8349,1044
1400,8709,8709,1022
1400,8136,8136,1053
1400,8898,8898,1089
1400,8342,8342,1027
1400,9041,9041,1061
1400,8347,8347,1047
1400,9076,9076,960
1400,8068,8068,1224
1400,7670,7670,1023
1400,9084,9084,1075
1400,7995,7995,1256
1400,8119,8119,777
1400,8644,8644,787
1400,8485,8485,802
1400,8004,8004,867
1500,8853,8853,1189
1500,8846,8846,1078
1500,8446,8446,969
1500,8585,8585,1262
1500,9551,9551,1140
1500,9429,9429,1140
1500,8859,8859,1233
1500,8774,8774,1225
1500,9107,9107,1247
1500,9132,9132,1248
1500,9236,9236,1242
1500,8944,8944,1267
1500,9757,9757,1279
1500,8079,8079,1218
1500,9368,9368,1284
1500,9251,9251,1270
1500,8234,8234,761
1500,8598,8598,662
1500,9036,9036,673
1500,8690,8690,641
1600,14028,14028,1470
1600,13933,13933,1496
1600,13998,13998,1547
1600,13904,13904,1488
1600,15151,15151,1525
1600,13539,13539,1456
1600,13432,13432,1504
1600,14626,14626,1449
1600,13426,13426,1330
1600,12035,12035,1534
1600,14098,14098,1467
1600,13538,13538,1422
1600,13717,13717,1459
1600,12988,12988,1598
1600,13421,13421,1607
1600,13228,13228,1779
1600,12942,12942,946
1600,14104,14104,962
1600,12964,12964,945
1600,12877,12877,983
1700,10882,10882,1314
1700,12814,12814,1419
1700,11602,11602,1453
1700,11432,11432,1516
1700,12488,12488,1508
1700,11671,11671,1485
1700,11318,11318,1449
1700,12219,12219,1509
1700,10931,10931,1551
1700,11199,11199,1387
1700,10841,10841,1333
1700,10504,10504,1494
1700,11538,11538,1571
1700,11450,11450,1470
1700,10799,10799,1626
1700,12643,12643,1858
1700,11050,11050,884
1700,12367,12367,915
1700,12101,12101,948
1700,10551,10551,1049
1800,16834,16834,1692
