Mass_Size,Copy_Count,Comp_Count,Time
100,260,260,22
100,260,260,22
100,260,260,20
100,260,260,22
100,260,260,20
100,260,260,22
100,260,260,20
100,260,260,21
100,260,260,27
100,260,260,27
100,260,260,27
100,260,260,23
100,260,260,22
100,260,260,22
100,260,260,21
100,260,260,22
100,260,260,21
100,260,260,22
100,260,260,21
100,260,260,23
200,620,620,49
200,620,620,49
200,620,620,49
200,620,620,48
200,620,620,48
200,620,620,48
200,620,620,48
200,620,620,49
200,620,620,50
200,620,620,51
200,620,620,47
200,620,620,49
200,620,620,47
200,620,620,48
200,620,620,47
200,620,620,48
200,620,620,48
200,620,620,48
200,620,620,51
200,620,620,53
300,1000,1000,81
300,1000,1000,81
300,1000,1000,103
300,1000,1000,101
300,1000,1000,80
300,1000,1000,101
300,1000,1000,80
300,1000,1000,80
300,1000,1000,102
300,1000,1000,101
300,1000,1000,99
300,1000,1000,80
300,1000,1000,130
300,1000,1000,80
300,1000,1000,80
300,1000,1000,81
300,1000,1000,81
300,1000,1000,82
300,1000,1000,114
300,1000,1000,112
400,1440,1440,109
400,1440,1440,109
400,1440,1440,109
400,1440,1440,110
400,1440,1440,115
400,1440,1440,119
400,1440,1440,108
400,1440,1440,115
400,1440,1440,108
400,1440,1440,108
400,1440,1440,145
400,1440,1440,117
400,1440,1440,179
400,1440,1440,114
400,1440,1440,108
400,1440,1440,108
400,1440,1440,110
400,1440,1440,131
400,1440,1440,154
400,1440,1440,160
500,2100,2100,170
500,2100,2100,169
500,2100,2100,145
500,2100,2100,148
500,2100,2100,145
500,2100,2100,145
500,2100,2100,145
500,2100,2100,144
500,2100,2100,146
500,2100,2100,145
500,2100,2100,222
500,2100,2100,238
500,2100,2100,273
500,2100,2100,144
500,2100,2100,264
500,2100,2100,202
500,2100,2100,145
500,2100,2100,153
500,2100,2100,160
500,2100,2100,158
600,2300,2300,183
600,2300,2300,196
600,2300,2300,180
600,2300,2300,201
600,2300,2300,181
600,2300,2300,197
600,2300,2300,181
600,2300,2300,297
600,2300,2300,276
600,2300,2300,343
600,2300,2300,345
600,2300,2300,370
600,2300,2300,234
600,2300,2300,281
600,2300,2300,373
600,2300,2300,196
600,2300,2300,369
600,2300,2300,180
600,2300,2300,382
600,2300,2300,247
700,2920,2920,225
700,2920,2920,216
700,2920,2920,243
700,2920,2920,218
700,2920,2920,219
700,2920,2920,218
700,2920,2920,218
700,2920,2920,333
700,2920,2920,369
700,2920,2920,412
700,2920,2920,218
700,2920,2920,217
700,2920,2920,412
700,2920,2920,407
700,2920,2920,411
700,2920,2920,411
700,2920,2920,329
700,2920,2920,375
700,2920,2920,410
700,2920,2920,343
800,3280,3280,270
800,3280,3280,289
800,3280,3280,259
800,3280,3280,246
800,3280,3280,245
800,3280,3280,247
800,3280,3280,246
800,3280,3280,370
800,3280,3280,250
800,3280,3280,465
800,3280,3280,244
800,3280,3280,465
800,3280,3280,444
800,3280,3280,463
800,3280,3280,465
800,3280,3280,461
800,3280,3280,465
800,3280,3280,460
800,3280,3280,423
800,3280,3280,442
900,4180,4180,297
900,4180,4180,288
900,4180,4180,288
900,4180,4180,290
900,4180,4180,391
900,4180,4180,317
900,4180,4180,463
900,4180,4180,505
900,4180,4180,443
900,4180,4180,366
900,4180,4180,580
900,4180,4180,699
900,4180,4180,388
900,4180,4180,721
900,4180,4180,720
900,4180,4180,448
900,4180,4180,648
900,4180,4180,726
900,4180,4180,583
900,4180,4180,726
1000,4700,4700,335
1000,4700,4700,388
1000,4700,4700,411
1000,4700,4700,488
