Mass_Size,Copy_Count,Comp_Count,Time
100,0,0,16
100,0,0,13
100,0,0,14
100,0,0,14
100,0,0,14
100,0,0,14
100,0,0,13
100,0,0,15
100,0,0,15
100,0,0,13
100,0,0,14
100,0,0,14
100,0,0,13
100,0,0,14
100,0,0,13
100,0,0,14
100,0,0,13
100,0,0,14
100,0,0,13
100,0,0,16
200,0,0,31
200,0,0,31
200,0,0,31
200,0,0,31
200,0,0,31
200,0,0,31
200,0,0,31
200,0,0,31
200,0,0,31
200,0,0,31
200,0,0,31
200,0,0,31
200,0,0,31
200,0,0,31
200,0,0,31
200,0,0,31
200,0,0,32
200,0,0,31
200,0,0,38
200,0,0,43
300,0,0,60
300,0,0,60
300,0,0,54
300,0,0,54
300,0,0,62
300,0,0,63
300,0,0,75
300,0,0,72
300,0,0,76
300,0,0,77
300,0,0,71
300,0,0,70
300,0,0,84
300,0,0,65
300,0,0,65
300,0,0,65
300,0,0,66
300,0,0,83
300,0,0,91
300,0,0,72
400,0,0,86
400,0,0,87
400,0,0,108
400,0,0,86
400,0,0,108
400,0,0,87
400,0,0,96
400,0,0,87
400,0,0,88
400,0,0,112
400,0,0,112
400,0,0,101
400,0,0,87
400,0,0,122
400,0,0,86
400,0,0,109
400,0,0,109
400,0,0,91
400,0,0,127
400,0,0,164
500,0,0,110
500,0,0,124
500,0,0,124
500,0,0,95
500,0,0,146
500,0,0,184
500,0,0,146
500,0,0,146
500,0,0,180
500,0,0,148
500,0,0,169
500,0,0,97
500,0,0,148
500,0,0,179
500,0,0,186
500,0,0,184
500,0,0,112
500,0,0,213
500,0,0,165
500,0,0,115
600,0,0,166
600,0,0,197
600,0,0,147
600,0,0,202
600,0,0,213
600,0,0,146
600,0,0,146
600,0,0,213
600,0,0,147
600,0,0,197
600,0,0,202
600,0,0,146
600,0,0,325
600,0,0,363
600,0,0,146
600,0,0,169
600,0,0,333
600,0,0,151
600,0,0,298
600,0,0,214
700,0,0,186
700,0,0,171
700,0,0,195
700,0,0,170
700,0,0,303
700,0,0,190
700,0,0,311
700,0,0,267
700,0,0,335
700,0,0,371
700,0,0,230
700,0,0,370
700,0,0,295
700,0,0,195
700,0,0,153
700,0,0,313
700,0,0,343
700,0,0,497
700,0,0,341
700,0,0,450
800,0,0,194
800,0,0,227
800,0,0,224
800,0,0,227
800,0,0,194
800,0,0,313
800,0,0,369
800,0,0,357
800,0,0,344
800,0,0,376
800,0,0,317
800,0,0,195
800,0,0,348
800,0,0,477
800,0,0,474
800,0,0,480
800,0,0,480
800,0,0,323
800,0,0,557
800,0,0,496
900,0,0,259
900,0,0,261
900,0,0,283
900,0,0,264
900,0,0,290
900,0,0,378
900,0,0,449
900,0,0,366
900,0,0,380
900,0,0,281
900,0,0,444
900,0,0,511
900,0,0,500
900,0,0,535
900,0,0,443
900,0,0,645
900,0,0,535
900,0,0,503
900,0,0,508
900,0,0,524
1000,0,0,277
1000,0,0,343
1000,0,0,325
1000,0,0,278
1000,0,0,325
1000,0,0,445
1000,0,0,462
1000,0,0,391
1000,0,0,333
1000,0,0,467
1000,0,0,597
1000,0,0,595
1000,0,0,598
1000,0,0,583
1000,0,0,557
1000,0,0,591
1000,0,0,573
1000,0,0,453
1000,0,0,608
1000,0,0,608
1100,0,0,345
1100,0,0,416
1100,0,0,339
1100,0,0,419
1100,0,0,341
1100,0,0,426
